"DOI","Link","Abstract","EID"
"10.1080/05704928.2018.1457045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050459634&doi=10.1080%2f05704928.2018.1457045&partnerID=40&md5=5ffd33d4d4a53a47fdea78a34927c9cd","Microfluidic paper-based analytical devices (µPADs) have attracted much attention over the past decade because they offer clinicians the ability to deliver point-of-care testing and onsite analysis. Many of the advantages of µPADs, however, are limited to work in a laboratory setting due to the difficulties of processing data when using electronic devices in the field. This review focuses on the use of µPADs that have the potential to work without batteries or with only small and portable devices such as smartphones, timers, or miniaturized detectors. The µPADs that can be operated without batteries are, in general, those that allow the visual judgment of analyte concentrations via readouts that are measured in time, distance, count, or text. Conversely, a smartphone works as a camera to permit the capture and processing of an image that digitizes the color intensity produced by the reaction of an analyte with a colorimetric reagent. Miniaturized detectors for electrochemical, fluorometric, chemiluminescence, and electrochemiluminescence methods are also discussed, although some of them require the use of a laptop computer for operation and data processing. © 2018, © 2018 Taylor & Francis Group, LLC.","2-s2.0-85050459634"
"10.1016/j.aca.2018.07.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049984452&doi=10.1016%2fj.aca.2018.07.035&partnerID=40&md5=f5927d7969bf1f5dee9d30ae356cf0d2","While there is a large body of research on the properties and detection of traditional military high explosives and propellant low explosives, there is a dearth of research on homemade explosive (HME) materials, though they are prevalent today. The safety of working with these materials in the laboratory is the greatest limiting factor preventing HME research. A vapor delivery tool, the Mixed Vapor Generation Device (MV-Gen), was designed to safely contain the individual solid or liquid components that often compose homemade explosives vapor plumes and deliver the mixed component vapors for instrumental sampling and analysis. Within the MV-Gen, each component is separated and only the vapors mix as they are carried through the device by flowing air. The resulting mixed vapor is representative of either mixed explosive material or bulk explosives. Component materials are held in up to four individual, removable vials with vapor concentrations controlled by vial orifice size, temperature, and diluent airflow. The total concentration can be adjusted by altering vial temperature via a thermal water jacket surrounding the entirety of the device, or by adjusting the flow rate of diluent air through the device. The MV-Gen was evaluated first with surrogate compounds, followed by two types of homemade explosives, to include a binary explosive mixture and a peroxide explosive. To evaluate the device, vapors were cold-trapped on an online sampling system and analyzed by gas chromatography/mass spectrometry. It was determined that the device yielded reproducible vapor concentrations of both single and mixed components, and the ratio of these vapors can be easily adjusted to mimic varying forms of homemade explosives. © 2018","2-s2.0-85049984452"
"10.1016/j.apradiso.2018.02.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042643644&doi=10.1016%2fj.apradiso.2018.02.018&partnerID=40&md5=87c103c562bfc056a5f142a1d8c02b2e","Detection of hidden explosives is of utmost importance for homeland security. Several configurations of an Explosives Detection System (EDS) to intercept hidden threats, made up with a Deuterium-Deuterium (D-D) compact neutron generator and NaI (Tl) scintillation detectors, have been evaluated using MCNP6 code. The system's response to various samples of explosives, such as RDX and Ammonium Nitrate, is analysed. The D-D generator is able to produce fast neutrons with 2.5 MeV energy in a maximum yield of 1010 n/s. It is surrounded by high-density polyethylene to thermalize the fast neutrons and to optimize interactions with the sample inspected, whose emission of gamma rays gives a characteristic spectrum of the elements that constitute it. This procedure allows to determine its chemical composition and to identify the type of substance. The necessary shielding is evaluated to estimate its thicknesses depending on the admissible dose of operation, using lead and polyethylene. The results show that its functionality is promising in the field of national security for explosives inspection. © 2018 Elsevier Ltd","2-s2.0-85042643644"
"10.1007/s11220-018-0208-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050815681&doi=10.1007%2fs11220-018-0208-9&partnerID=40&md5=67e4f9514c8aa32109cc933f7401f7d6","It is well known that under blue LED/laser illumination a class of synthetic conjugated polymers can create fluorescence, and after absorbing a certain class of explosive vapors the fluorescence will be quenched thus the explosives can be detected. The unsolved problems are how can we detect drug, TATP and nitro aromatic explosives with the same device, how can we distinguish different explosives and drugs, and how can we avoid false alarms; solving these problems are crucial for world security. We have developed a new synthetic conjugated polymer with single molecule layer and coated on porous silicon with large surface area to increase quenching signal at least one order, based on this new film a small handheld explosive detector with sensitivities of 0.1 pg for TNT and 0.1 ng for black gun powder are obtained. Many explosives and drugs (such as TNT, RDX, PETN, black gun powder, cocaine, etc.) have been tested, from their quenching curves and our data base we are able to distinguish them qualitatively and avoid false alarms. Therefore we believe our detector can be used not only for battle field but also for airports, government entrances and other security check points. Last year, after face to face competition, our device was selected as the only security detector for the G20 summit held in Hangzhou, China. Here, we will give our detailed designs to let readers develop detectors by themselves to counter terrorism in the world and save lives. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","2-s2.0-85050815681"
"10.1039/c8an02041h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062729347&doi=10.1039%2fc8an02041h&partnerID=40&md5=70a53c4e0f450aa0df4d428410410b9e","A tandem ion mobility spectrometer at ambient pressure included a thermal desorption inlet, two drift regions, dual ion shutters, and a wire grid assembly in the second drift region. An ion swarm could be mobility isolated in the first drift region using synchronized dual ion shutters and decomposed in a wire grid assembly using electric fields of 1.80 × 104 V cm-1 (118 Td) from a 1.8 MHz sinusoidal waveform. Mobility selected ions that underwent field induced decomposition were NO3-, from PETN·Cl- and NG·Cl-, and NO2- from RDX·Cl-. The extent of decomposition ranged from 60 to 90%, depending on gas temperature, field strength, and ion identity, introducing additional controls to improve selectivity in trace determination of explosives. Ion transmission through the wire grid assembly ranged from 80 to >95% with losses increasing for increased field strength. Studies with pairs of explosives and interfering substances demonstrated decisive detection of explosives and portend reduced rates of false positive using tandem ion mobility spectrometers with a reactive stage. © 2019 The Royal Society of Chemistry.","2-s2.0-85062729347"
"10.1002/zaac.201800288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053514327&doi=10.1002%2fzaac.201800288&partnerID=40&md5=95bc1c8bbab1511347d9a2e237eca5cf","This contribution covers the preparation and characterization of 2,2-bis(5-tetrazolyl)propane (5-DTP) (1). The bridged bitetrazole is used as a neutral nitrogen-rich ligand in 3d transition metal(II) based complexes for the first time and can be synthesized via [2+3] cycloaddition from sodium azide and dimethylmalononitrile. The combination with different anions (e.g., perchlorate, nitrate, sulfate, and chloride) yields materials with widely varying physicochemical properties. The obtained coordination compounds were characterized using low-temperature single-crystal X-ray diffraction (except 14), IR spectroscopy, elemental analysis, and DTA (except 16). The sensitivities toward external stimuli (impact and friction) were determined according to the Bundesamt für Materialforschung und -prüfung (BAM) standard methods together with its sensitivities against electrostatic discharge (except 16). Complexes 10 and 14 were characterized in laser ignition experiments. For determination of the compounds' deflagration to detonation transition (DDT) capability, hot plate and hot needle tests were performed for the zinc(II) and copper(II) perchlorate complexes. © 2019 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85053514327"
"10.1002/prep.201800239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055924106&doi=10.1002%2fprep.201800239&partnerID=40&md5=4badd2756e76cf8f7ff5cf90059088ac","A field ready colorimetric method of quantifying the concentration of aqueous 3-nitro-1,2,4-triazol-5-one (NTO), several orders of magnitude below its environmental toxicity level, has been developed. The test allows for the immediate evaluation of the level of contamination in aqueous solution without the need for analytical equipment such as high pressure liquid chromatography (HPLC). The observed colours have been explained by the different NTO species present over the range of pH; these observations are supported by modelling and experimental results. © 2019 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85055924106"
"10.1002/prep.201800204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056742523&doi=10.1002%2fprep.201800204&partnerID=40&md5=c600178d5c8b5deadf11a92754b16023","The paper investigated the effect of metal nanopowders additive on the combustion properties of HMX/CL-20/AP/polyvinyltetrazole binder/Al propellants. Using thermal analysis, the authors described the effect of aluminum, boron, zinc, nickel, copper, and molybdenum and identified the combustion in a pressure range from 4 to 10 MPa with a pressure step of 1 MPa. No significant correlation between the oxidation properties of the n-Me powders and the combustion properties of propellants was discovered. An addition of nanopowders caused an increase in the propellant burning rate by approximately 30 % for n-Al, n-B, n-Ni, and n-Mo independent from the pressure values. An addition of n-Cu resulted in a burning rate increase by a factor of 4.9 due to coppers’ probable catalytic activity during interaction with nitroesters and cyclic nitramines in a solid phase. n-Zn additive increased the propellant burning rate by factors 2.3 and 3.6 at 4 and 10 MPa, respectively, due to catalytic activity of zinc in a gaseous phase. © 2019 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85056742523"
"10.1007/s00193-018-0814-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042419525&doi=10.1007%2fs00193-018-0814-4&partnerID=40&md5=570eb66b4da10b8e370b2aaacaf7cc30","After the detonation of an oxygen-deficient homogeneous high explosive, a phase of turbulent combustion, called afterburning, takes place at the interface between the rich detonation products and air. Its modelling is instrumental for the accurate prediction of the performance of these explosives. Because of the high temperature of detonation products, the chemical reactions are mixing-driven. Modelling afterburning thus relies on the precise description of the mixing process inside fireballs. This work presents a joint numerical and experimental study of a non-reacting reduced-scale set-up, which uses the compressed balloon analogy and does not involve the detonation of a high explosive. The set-up produces a flow similar to the one caused by a spherical detonation and allows focusing on the mixing process. The numerical work is composed of 2D and 3D LES simulations of the set-up. It is shown that grid independence can be reached by imposing perturbations at the edge of the fireball. The results compare well with the existing literature and give new insights on the mixing process inside fireballs. In particular, they highlight the fact that the mixing layer development follows an energetic scaling law but remains sensitive to the density ratio between the detonation products and air. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","2-s2.0-85042419525"
"10.1002/prep.201800260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061033425&doi=10.1002%2fprep.201800260&partnerID=40&md5=de0ec61d491daf828d8ee9f11fde4347","                             Because of the potential of nano-TATB as a charge in slapper detonator, the shock initiation threshold of nano-TATB explosive was studied over short pulse durations (down to 0.017 μs) and high pressure ranges (up to 17 GPa). The pulses were produced by the impact of thin plastic flyer plates, which were accelerated by electrically exploded metal foils. Nano-TATB powders with a mean particle size of 60 nm were prepared and pressed into cylindrical sample charges with three densities (1.56, 1.64 and 1.74 g/cm                             3                             ). The flyer impact velocity data versus charging voltages was measured with different flyer thicknesses. Together with the Hugoniot relationships of flyer and samples, the impact pressures and pulse durations were calculated. By using Langlie method, the threshold pressures for shock initiation were determined. In case of the identical flyer plate, the threshold pressure increases with increasing density. In case of the identical explosive density, the threshold pressure increases as the thickness of the flyer decreases (i. e. the pulse duration decreases) except for the highest tested density. These data are represented well by a constant P                             2                             τ initiation criterion for the short, high-pressure pulses and deviate from the P                             2                             τ behavior at lower pressures. Finally, nano-TATB is proved to be a little more sensitive to short-duration pulses than superfine TATB, but much more sensitive than production grade TATB.                          © 2019 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85061033425"
