"","AIKeywords"
"1","CORE–SHELL STRUCTURED NANOENERGETIC MATERIALS (NEMS)"
"2","EXPLOSIVES"
"3","FUNDAMENTAL PROPERTIES"
"4","METASTABLE INTERMOLECULAR COMPOSITES (MICS)"
"5","PREPARATION METHODS"
"6","ENERGETIC MATERIALS"
"7","MECHANISM"
"8","TG-FTIR"
"9","TG-MS"
"10","THERMAL DECOMPOSITION"
"11","ARTIFICIAL INTELLIGENCE"
"12","EXPLOSIVES' DETECTION"
"13","IMS"
"14","NANOMATERIALS"
"15","QUANTUM DOTS"
"16","RAMAN SPECTROSCOPY"
"17","SENSORS"
"18","SERS"
"19","BIOCHEMICAL SENSORS"
"20","CHEMICAL IDENTIFICATION"
"21","INFRARED SPECTROSCOPY"
"22","METAMATERIALS"
"23","NANOSTRUCTURES"
"24","TERAHERTZ SPECTROSCOPY"
"25","FLUORESCENCE QUENCHING"
"26","NITROAROMATIC EXPLOSIVES"
"27","PYRAZINES"
"28","PYRIDINES"
"29","PYRIMIDINES"
"30","TRIAZINES"
"31","DETONATION LIMITS"
"32","PREDICTION MODEL"
"33","VELOCITY DEFICIT"
"34","2,4,6-TRINITROPHENOL"
"35","ANTIBACTERIAL ACTIVITY"
"36","DRUG DELIVERY"
"37","M-PHENYLENEDIAMINE"
"38","N@CDS"
"39","3D-PRINTED SENSOR"
"40","FORENSIC"
"41","FUSED DEPOSITION MODELLING"
"42","GRAPHENE"
"43","STRIPPING METALS"
"44","TNT"
"45","3D PRINTING"
"46","ADDITIVE MANUFACTURING"
"47","ELECTROCHEMICAL SENSOR"
"48","EXPLOSIVES DETECTION"
"49","FUSED DEPOSITION MODELING"
"50","BIOMARKER"
"51","BIOMOLECULE DETECTION"
"52","FLUORESCENCE DETECTION"
"53","LUMINESCENT METAL-ORGANIC FRAMEWORKS"
"54","NITROAROMATIC EXPLOSIVE"
"55","POROUS MATERIAL"
"56","POST-SYNTHETIC MODIFICATION"
"57","SENSING"
"58","CHEMOSENSOR"
"59","ENCAPSULATION"
"60","FLUORESCENCE CAGE"
"61","HOST–GUEST SYSTEM"
"62","TRACKABLE DETECTION"
"63","AGGLOMERATION"
"64","CERAMICS"
"65","COMBUSTION SYNTHESIS"
"66","DYNAMIC LIGHT SCATTERING"
"67","NANOCRYSTALS"
"68","POWDERS"
"69","PROCESSING"
"70","5,5′-AZOTETRAZOLE-1,1′-DIOL"
"71","AMMONIUM PERCHLORATE"
"72","CATALYST"
"73","ENERGY MATERIALS"
"74","DART-MS"
"75","DIRECT ANALYSIS IN REAL TIME"
"76","FORENSIC SCIENCE"
"77","MASS SPECTROMETRY"
"78","FLEXIBLE MATERIALS"
"79","LIGHT TRAPPING"
"80","NANOCONE"
"81","NANOWRINKLE"
"82","ENERGETIC COMPOUNDS"
"83","GREEN CHEMISTRY"
"84","HYPERGOLIC FUELS"
"85","N-OXIDES"
"86","NITRO COMPOUNDS"
"87","PROPELLANTS"
"88","STRAINED HYDROCARBONS"
"89","GREEN ENERGETIC MATERIALS"
"90","NITROGEN-RICH MATERIALS"
"91","PYRAZOL-TRIAZOLE HYBRID"
"92","THERMALLY STABLE ORGANIC MATERIALS"
"93","COVALENT ORGANIC FRAMEWORKS"
"94","EXPLOSIVE DETECTION"
"95","MICROMOTORS"
"96","SELF-PROPULSION"
"97","CARBON NANOWALLS"
"98","DPV"
"99","LANDFILL LEACHATES"
"100","TRACE EXPLOSIVES DETERMINATION"
"101","DSC"
"102","FE2O3"
"103","KINETICS"
"104","NITROCELLULOSE"
"105","ARTIFICIAL OLFACTORY SYSTEMS"
"106","COLORIMETRIC DETECTION"
"107","IMPROVISED EXPLOSIVES"
"108","NONVOLATILE TARGET ANALYTES"
"109","ENZYMATIC NITRATE DETECTION"
"110","NANOMATERIAL"
"111","NANOMATERIAL-MODIFIED ELECTRODE"
"112","NON-ENZYMATIC NITRATE DETECTION"
"113","ENVIRONMENT"
"114","INORGANIC POLLUTANTS"
"115","MANAGEMENT PRACTICES"
"116","ORGANIC POLLUTANTS"
"117","RISK"
"118","SHOOTING RANGES"
"119","HOT SPOT"
"120","METAL NANOPARTICLES"
"121","SURFACE ENHANCED RAMAN SPECTROSCOPY"
"122","DEVELOPED AND DEVELOPING COUNTRIES"
"123","FINANCIAL DEVELOPMENT"
"124","FINANCIAL STRUCTURE"
"125","GREEN TOTAL FACTOR PRODUCTIVITY"
"126","HETEROGENEITY"
"127","AG–AU ALLOY NPS"
"128","FEMTOSECOND LASER ABLATION"
"129","METHYLENE BLUE"
"130","SURFACE-ENHANCED RAMAN SCATTERING"
"131","AMMONIUM NITRATE"
"132","CONTAMINANTS"
"133","OXIDIZING AGENTS"
"134","REVIEWS"
"135","ARRAY"
"136","DISCRIMINANT ANALYSIS"
"137","EXPLOSIVE"
"138","LUMINESCENCE"
"139","METAL-ORGANIC FRAMEWORK"
"140","PETN"
"141","HIGH EXPLOSIVES"
"142","HIGH REACTIVITY"
"143","MICROSPHERES"
"144","NANO-ALUMINUM"
"145","CHARACTERIZATION"
"146","COMPATIBILITY"
"147","NITRATE ESTER"
"148","STABILIZER"
"149","CAGE SKELETON"
"150","DSC-TG"
"151","IN-SITU FTIR"
"152","INORGANIC-ORGANIC FRAMEWORK MATERIAL"
"153","THERMAL BEHAVIORS"
"154","CHEMICAL SENSORS"
"155","ENVIRONMENTAL ANALYSIS"
"156","LUMINESCENCE SENSING"
"157","METALLIC CATIONS SENSING"
"158","DETECTING IN LIQUID AND SOLID PHASE"
"159","FLUORESCENCE SENSING"
"160","SENSING MECHANISM"
"161","TETRAPHENYLETHYLENE"
"162","Γ-CD-MOF-K"
"163","ANTIBIOTICS"
"164","BIOLOGICAL FLUIDS"
"165","ENVIRONMENTAL SAMPLES"
"166","WMOF"
"167","AGGREGATION INDUCED EMISSION"
"168","CELL IMAGING"
"169","ELECTRON TRANSFER"
"170","FLUORESCENT ORGANIC NANOAGGREGATES"
"171","3D-PEN"
"172","CARBON BLACK"
"173","CONDUCTIVE THERMOPLASTIC"
"174","AMBIENT MASS SPECTROMETRY"
"175","APPLICATIONS"
"176","DIRECT ANALYSIS"
"177","IN-SITU ANALYSIS"
"178","MOLECULAR IMAGING"
"179","APTAMER"
"180","BIOSENSOR"
"181","CANINE"
"182","GENETICALLY ENGINEERED MICROORGANISM"
"183","IMMUNOASSAY"
"184","MOLECULARLY IMPRINTED POLYMER"
"185","SENSOR ARRAY"
"186","DETECTION LIMIT"
"187","FLUORESCENCE"
"188","NITROAROMATIC"
"189","PHOSPHAZENES"
"190","FUNCTIONAL GROUPS"
"191","HETEROCYCLIC"
"192","HIGH-PERFORMING EXPLOSIVES"
"193","TETRAZOLE"
"194","ARTIFICIAL OLFACTION"
"195","ELECTRONIC NOSES"
"196","OPTOELECTRONIC NOSES"
"197","BEIRUT EXPLOSION"
"198","DETONATION"
"199","TNT EQUIVALENCY"
"200","2,4,6-TRINITROTOLUENE"
"201","CYCLIC VOLTAMMETRY"
"202","ELECTROPOLYMERIZATION"
"203","MOLECULARLY IMPRINTED POLYMERS"
"204","NITRO-EXPLOSIVES"
"205","POLYDOPAMINE"
"206","RDX"
"207","THIN FILMS"
"208","CALIBRATION"
"209","DATA PROCESSING"
"210","LIBS"
"211","QUALITATIVE ANALYSIS"
"212","SAMPLE PREPARATION"
"213","SIGNAL ENHANCEMENT"
"214","ALUMINUM"
"215","COMBUSTION"
"216","SELF-ASSEMBLY"
"217","TANNIC ACID"
"218","FLUORINE"
"219","FURAZAN SKELETON"
"220","GEM-DINITROFLUROETHYL"
"221","HIGH PERFORMANCE"
"222","LOW MELTING POINT"
"223","MELT-CASTABLE ENERGETIC MATERIAL"
"224","OXADIAZOLE SKELETON"
"225","ARTIFICIAL NEURAL NETWORKS"
"226","DATA SCIENCE"
"227","DETONATION VELOCITY"
"228","HIGH ENERGETIC MATERIALS"
"229","KNOWLEDGE BASE FORMATTING"
"230","MULTIFACTOR COMPUTATIONAL MODELS"
"231","ENERGETIC NANOCOMPOSITES"
"232","NBC"
"233","NITRAMINE EXPLOSIVES"
"234","SENSITIVITY"
"235","SOL-GEL"
"236","THERMAL ANALYSIS"
"237","AGGREGATION-INDUCED ENHANCED EMISSION"
"238","CONJUGATED MESOPOROUS OLIGOMER"
"239","HIGH QUENCHING CONSTANT"
"240","PICRIC ACID"
"241","TRINITROTOLUENE"
"242","ACCIDENT INVESTIGATION"
"243","CONSEQUENCE ANALYSIS"
"244","EXPLOSION"
"245","LEBANON"
"246","PROBIT MODELS"
"247","ALUMINIZED SOLID PROPELLANTS"
"248","CONDENSED COMBUSTION PRODUCTS"
"249","IGNITION AND COMBUSTION CHARACTERISTICS"
"250","POCKET STRUCTURE"
"251","CORE–SHELL NANOPARTICLES"
"252","EXPLOSIVES SENSING"
"253","NANOMOTORS"
"254","PLASMONICS"
"255","BIS-1,2,4-TRIAZOLES"
"256","ENERGETIC BRIDGE"
"257","HEAT RESISTANT EXPLOSIVES"
"258","THERMAL STABILITY"
"259","GUN PROPELLANT"
"260","PHOTOCURABLE ENERGETIC RESIN"
"261","STEREOLITHOGRAPHY"
"262","COMPOSITE PARTICLES"
"263","NANOTECHNOLOGY"
"264","HAZARDOUS CHEMICALS"
"265","MONTE CARLO SIMULATION"
"266","MULTI-HAZARD COUPLING DISASTERS"
"267","SYNERGIC EFFECT"
"268","FOOD SAFETY"
"269","GAS SENSOR"
"270","HEAVY METAL ION"
"271","MEDICINE"
"272","MOSE2 NANOSTRUCTURES"
"273","RELATIVE HUMIDITY (RH)"
