"Year","Keyword","x","Incidenceweight"
1998,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",1,"1-2"
2000,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",1,"1-2"
2001,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",2,"1-2"
2002,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",1,"1-2"
2003,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",4,"3-5"
2004,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",3,"3-5"
2005,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",9,"6-10"
2006,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",7,"6-10"
2007,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",2,"1-2"
2008,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",3,"3-5"
2009,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",10,"6-10"
2010,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",8,"6-10"
2011,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",3,"3-5"
2012,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",13,"11-20"
2013,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",5,"3-5"
2014,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",9,"6-10"
2015,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",7,"6-10"
2016,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",10,"6-10"
2017,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",12,"11-20"
2018,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",8,"6-10"
2019,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",5,"3-5"
2020,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",9,"6-10"
2021,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",4,"3-5"
2022,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",10,"6-10"
2023,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",7,"6-10"
1983,"2,4,6-Trinitrotoluene (TNT)",1,"1-2"
1990,"2,4,6-Trinitrotoluene (TNT)",1,"1-2"
1992,"2,4,6-Trinitrotoluene (TNT)",2,"1-2"
