"Year","Keyword","x","Incidenceweight"
2002,"ADSORPTION",1,"1-2"
2003,"ADSORPTION",1,"1-2"
2005,"ADSORPTION",1,"1-2"
2007,"ADSORPTION",4,"3-5"
2008,"ADSORPTION",8,"6-10"
2009,"ADSORPTION",4,"3-5"
2010,"ADSORPTION",10,"6-10"
2011,"ADSORPTION",16,"11-20"
2012,"ADSORPTION",6,"6-10"
2013,"ADSORPTION",11,"11-20"
2014,"ADSORPTION",4,"3-5"
2015,"ADSORPTION",6,"6-10"
2016,"ADSORPTION",3,"3-5"
2017,"ADSORPTION",4,"3-5"
2018,"ADSORPTION",2,"1-2"
2019,"ADSORPTION",3,"3-5"
2020,"ADSORPTION",2,"1-2"
2021,"ADSORPTION",6,"6-10"
2003,"ALUMINIUM (AL)",1,"1-2"
2006,"ALUMINIUM (AL)",1,"1-2"
2009,"ALUMINIUM (AL)",3,"3-5"
2010,"ALUMINIUM (AL)",7,"6-10"
2011,"ALUMINIUM (AL)",5,"3-5"
2012,"ALUMINIUM (AL)",10,"6-10"
2013,"ALUMINIUM (AL)",5,"3-5"
2014,"ALUMINIUM (AL)",5,"3-5"
2015,"ALUMINIUM (AL)",1,"1-2"
2016,"ALUMINIUM (AL)",3,"3-5"
2017,"ALUMINIUM (AL)",6,"6-10"
2018,"ALUMINIUM (AL)",12,"11-20"
2019,"ALUMINIUM (AL)",8,"6-10"
2020,"ALUMINIUM (AL)",7,"6-10"
2021,"ALUMINIUM (AL)",11,"11-20"
2022,"ALUMINIUM (AL)",1,"1-2"
2001,"AMMONIUM NITRATE (AN)",1,"1-2"
2002,"AMMONIUM NITRATE (AN)",1,"1-2"
2003,"AMMONIUM NITRATE (AN)",1,"1-2"
2004,"AMMONIUM NITRATE (AN)",2,"1-2"
2007,"AMMONIUM NITRATE (AN)",2,"1-2"
2008,"AMMONIUM NITRATE (AN)",2,"1-2"
2009,"AMMONIUM NITRATE (AN)",8,"6-10"
2010,"AMMONIUM NITRATE (AN)",4,"3-5"
2011,"AMMONIUM NITRATE (AN)",7,"6-10"
2012,"AMMONIUM NITRATE (AN)",6,"6-10"
2013,"AMMONIUM NITRATE (AN)",6,"6-10"
2014,"AMMONIUM NITRATE (AN)",11,"11-20"
2015,"AMMONIUM NITRATE (AN)",8,"6-10"
2016,"AMMONIUM NITRATE (AN)",7,"6-10"
2017,"AMMONIUM NITRATE (AN)",13,"11-20"
2018,"AMMONIUM NITRATE (AN)",19,"11-20"
2019,"AMMONIUM NITRATE (AN)",9,"6-10"
2020,"AMMONIUM NITRATE (AN)",14,"11-20"
2021,"AMMONIUM NITRATE (AN)",14,"11-20"
2022,"AMMONIUM NITRATE (AN)",2,"1-2"
2001,"ANALYTICAL METHOD",5,"3-5"
2002,"ANALYTICAL METHOD",4,"3-5"
2003,"ANALYTICAL METHOD",2,"1-2"
2004,"ANALYTICAL METHOD",2,"1-2"
2005,"ANALYTICAL METHOD",4,"3-5"
2006,"ANALYTICAL METHOD",3,"3-5"
2007,"ANALYTICAL METHOD",6,"6-10"
2008,"ANALYTICAL METHOD",6,"6-10"
2009,"ANALYTICAL METHOD",5,"3-5"
2010,"ANALYTICAL METHOD",11,"11-20"
2011,"ANALYTICAL METHOD",14,"11-20"
2012,"ANALYTICAL METHOD",16,"11-20"
2013,"ANALYTICAL METHOD",8,"6-10"
2014,"ANALYTICAL METHOD",7,"6-10"
2015,"ANALYTICAL METHOD",4,"3-5"
2016,"ANALYTICAL METHOD",6,"6-10"
2017,"ANALYTICAL METHOD",6,"6-10"
2018,"ANALYTICAL METHOD",7,"6-10"
2019,"ANALYTICAL METHOD",5,"3-5"
2020,"ANALYTICAL METHOD",5,"3-5"
2021,"ANALYTICAL METHOD",2,"1-2"
2007,"ANIMAL",7,"6-10"
2008,"ANIMAL",8,"6-10"
2009,"ANIMAL",3,"3-5"
2010,"ANIMAL",12,"11-20"
2011,"ANIMAL",22,"21-30"
2012,"ANIMAL",18,"11-20"
2013,"ANIMAL",8,"6-10"
2014,"ANIMAL",3,"3-5"
2015,"ANIMAL",2,"1-2"
2016,"ANIMAL",2,"1-2"
2017,"ANIMAL",3,"3-5"
2018,"ANIMAL",1,"1-2"
2020,"ANIMAL",5,"3-5"
2021,"ANIMAL",7,"6-10"
2022,"ANIMAL",1,"1-2"
2001,"AROMATIC COMPOUND",2,"1-2"
2002,"AROMATIC COMPOUND",1,"1-2"
2005,"AROMATIC COMPOUND",1,"1-2"
2007,"AROMATIC COMPOUND",3,"3-5"
2008,"AROMATIC COMPOUND",11,"11-20"
2009,"AROMATIC COMPOUND",12,"11-20"
2010,"AROMATIC COMPOUND",20,"11-20"
2011,"AROMATIC COMPOUND",28,"21-30"
2012,"AROMATIC COMPOUND",21,"21-30"
2013,"AROMATIC COMPOUND",22,"21-30"
2014,"AROMATIC COMPOUND",26,"21-30"
2015,"AROMATIC COMPOUND",14,"11-20"
2016,"AROMATIC COMPOUND",24,"21-30"
2017,"AROMATIC COMPOUND",31,"31-40"
2018,"AROMATIC COMPOUND",18,"11-20"
2019,"AROMATIC COMPOUND",20,"11-20"
2020,"AROMATIC COMPOUND",27,"21-30"
2021,"AROMATIC COMPOUND",19,"11-20"
2022,"AROMATIC COMPOUND",2,"1-2"
2001,"AROMATIC NITRO COMPOUND",3,"3-5"
2002,"AROMATIC NITRO COMPOUND",1,"1-2"
2003,"AROMATIC NITRO COMPOUND",1,"1-2"
2005,"AROMATIC NITRO COMPOUND",3,"3-5"
2006,"AROMATIC NITRO COMPOUND",2,"1-2"
2007,"AROMATIC NITRO COMPOUND",6,"6-10"
2008,"AROMATIC NITRO COMPOUND",7,"6-10"
2009,"AROMATIC NITRO COMPOUND",9,"6-10"
2010,"AROMATIC NITRO COMPOUND",6,"6-10"
2011,"AROMATIC NITRO COMPOUND",11,"11-20"
2012,"AROMATIC NITRO COMPOUND",9,"6-10"
2013,"AROMATIC NITRO COMPOUND",3,"3-5"
2014,"AROMATIC NITRO COMPOUND",4,"3-5"
2015,"AROMATIC NITRO COMPOUND",5,"3-5"
2016,"AROMATIC NITRO COMPOUND",3,"3-5"
2017,"AROMATIC NITRO COMPOUND",3,"3-5"
2018,"AROMATIC NITRO COMPOUND",2,"1-2"
2019,"AROMATIC NITRO COMPOUND",4,"3-5"
2020,"AROMATIC NITRO COMPOUND",6,"6-10"
2021,"AROMATIC NITRO COMPOUND",4,"3-5"
2001,"ARTICLE",17,"11-20"
2002,"ARTICLE",13,"11-20"
2003,"ARTICLE",11,"11-20"
2004,"ARTICLE",10,"6-10"
2005,"ARTICLE",12,"11-20"
2006,"ARTICLE",9,"6-10"
2007,"ARTICLE",46,"41-50"
2008,"ARTICLE",78,"76-100"
2009,"ARTICLE",93,"76-100"
2010,"ARTICLE",77,"76-100"
2011,"ARTICLE",111,">100"
2012,"ARTICLE",113,">100"
2013,"ARTICLE",64,"51-75"
2014,"ARTICLE",36,"31-40"
2015,"ARTICLE",23,"21-30"
2016,"ARTICLE",25,"21-30"
2017,"ARTICLE",36,"31-40"
2018,"ARTICLE",30,"21-30"
2019,"ARTICLE",44,"41-50"
2020,"ARTICLE",48,"41-50"
2021,"ARTICLE",37,"31-40"
2022,"ARTICLE",3,"3-5"
2004,"BIODEGRADATION",1,"1-2"
2007,"BIODEGRADATION",4,"3-5"
2008,"BIODEGRADATION",14,"11-20"
2009,"BIODEGRADATION",17,"11-20"
2010,"BIODEGRADATION",13,"11-20"
2011,"BIODEGRADATION",20,"11-20"
2012,"BIODEGRADATION",14,"11-20"
2013,"BIODEGRADATION",10,"6-10"
2014,"BIODEGRADATION",1,"1-2"
2015,"BIODEGRADATION",1,"1-2"
2016,"BIODEGRADATION",1,"1-2"
2017,"BIODEGRADATION",2,"1-2"
2018,"BIODEGRADATION",1,"1-2"
2020,"BIODEGRADATION",7,"6-10"
2021,"BIODEGRADATION",5,"3-5"
2002,"CARBON",1,"1-2"
2005,"CARBON",1,"1-2"
2007,"CARBON",5,"3-5"
2008,"CARBON",4,"3-5"
2009,"CARBON",12,"11-20"
2010,"CARBON",8,"6-10"
2011,"CARBON",9,"6-10"
2012,"CARBON",11,"11-20"
2013,"CARBON",9,"6-10"
2014,"CARBON",10,"6-10"
2015,"CARBON",5,"3-5"
2016,"CARBON",6,"6-10"
2017,"CARBON",4,"3-5"
2018,"CARBON",8,"6-10"
2019,"CARBON",5,"3-5"
2020,"CARBON",8,"6-10"
2021,"CARBON",4,"3-5"
2001,"CHEMICAL ANALYSIS",8,"6-10"
2002,"CHEMICAL ANALYSIS",4,"3-5"
2003,"CHEMICAL ANALYSIS",4,"3-5"
2004,"CHEMICAL ANALYSIS",4,"3-5"
2005,"CHEMICAL ANALYSIS",5,"3-5"
2006,"CHEMICAL ANALYSIS",4,"3-5"
2007,"CHEMICAL ANALYSIS",9,"6-10"
2008,"CHEMICAL ANALYSIS",15,"11-20"
2009,"CHEMICAL ANALYSIS",18,"11-20"
2010,"CHEMICAL ANALYSIS",11,"11-20"
2011,"CHEMICAL ANALYSIS",15,"11-20"
2012,"CHEMICAL ANALYSIS",19,"11-20"
2013,"CHEMICAL ANALYSIS",12,"11-20"
2014,"CHEMICAL ANALYSIS",16,"11-20"
2015,"CHEMICAL ANALYSIS",11,"11-20"
2016,"CHEMICAL ANALYSIS",21,"21-30"
2017,"CHEMICAL ANALYSIS",13,"11-20"
2018,"CHEMICAL ANALYSIS",18,"11-20"
2019,"CHEMICAL ANALYSIS",20,"11-20"
2020,"CHEMICAL ANALYSIS",16,"11-20"
2021,"CHEMICAL ANALYSIS",13,"11-20"
2022,"CHEMICAL ANALYSIS",1,"1-2"
2005,"CHEMICAL SENSORS",1,"1-2"
2007,"CHEMICAL SENSORS",4,"3-5"
2008,"CHEMICAL SENSORS",5,"3-5"
2009,"CHEMICAL SENSORS",2,"1-2"
2010,"CHEMICAL SENSORS",7,"6-10"
2011,"CHEMICAL SENSORS",7,"6-10"
2012,"CHEMICAL SENSORS",6,"6-10"
2013,"CHEMICAL SENSORS",8,"6-10"
2014,"CHEMICAL SENSORS",9,"6-10"
2015,"CHEMICAL SENSORS",4,"3-5"
2016,"CHEMICAL SENSORS",4,"3-5"
2017,"CHEMICAL SENSORS",10,"6-10"
2018,"CHEMICAL SENSORS",6,"6-10"
2019,"CHEMICAL SENSORS",6,"6-10"
2020,"CHEMICAL SENSORS",2,"1-2"
2021,"CHEMICAL SENSORS",7,"6-10"
2001,"CHEMICAL STRUCTURE",1,"1-2"
2002,"CHEMICAL STRUCTURE",1,"1-2"
2003,"CHEMICAL STRUCTURE",1,"1-2"
2004,"CHEMICAL STRUCTURE",1,"1-2"
2006,"CHEMICAL STRUCTURE",2,"1-2"
2007,"CHEMICAL STRUCTURE",4,"3-5"
2008,"CHEMICAL STRUCTURE",13,"11-20"
2009,"CHEMICAL STRUCTURE",20,"11-20"
2010,"CHEMICAL STRUCTURE",12,"11-20"
2011,"CHEMICAL STRUCTURE",14,"11-20"
2012,"CHEMICAL STRUCTURE",15,"11-20"
2013,"CHEMICAL STRUCTURE",4,"3-5"
2014,"CHEMICAL STRUCTURE",6,"6-10"
2015,"CHEMICAL STRUCTURE",7,"6-10"
2016,"CHEMICAL STRUCTURE",6,"6-10"
2017,"CHEMICAL STRUCTURE",8,"6-10"
2018,"CHEMICAL STRUCTURE",7,"6-10"
2019,"CHEMICAL STRUCTURE",8,"6-10"
2020,"CHEMICAL STRUCTURE",7,"6-10"
2021,"CHEMICAL STRUCTURE",5,"3-5"
2002,"CHEMISTRY",1,"1-2"
2006,"CHEMISTRY",3,"3-5"
2007,"CHEMISTRY",2,"1-2"
2008,"CHEMISTRY",11,"11-20"
2009,"CHEMISTRY",7,"6-10"
2010,"CHEMISTRY",16,"11-20"
2011,"CHEMISTRY",16,"11-20"
2012,"CHEMISTRY",23,"21-30"
2013,"CHEMISTRY",17,"11-20"
2014,"CHEMISTRY",23,"21-30"
2015,"CHEMISTRY",22,"21-30"
2016,"CHEMISTRY",18,"11-20"
2017,"CHEMISTRY",9,"6-10"
2018,"CHEMISTRY",16,"11-20"
2019,"CHEMISTRY",12,"11-20"
2020,"CHEMISTRY",11,"11-20"
2021,"CHEMISTRY",3,"3-5"
2001,"CHROMATOGRAPHY",2,"1-2"
2002,"CHROMATOGRAPHY",2,"1-2"
2003,"CHROMATOGRAPHY",1,"1-2"
2007,"CHROMATOGRAPHY",2,"1-2"
2008,"CHROMATOGRAPHY",4,"3-5"
2009,"CHROMATOGRAPHY",9,"6-10"
2010,"CHROMATOGRAPHY",6,"6-10"
2011,"CHROMATOGRAPHY",8,"6-10"
2012,"CHROMATOGRAPHY",9,"6-10"
2013,"CHROMATOGRAPHY",6,"6-10"
2014,"CHROMATOGRAPHY",4,"3-5"
2015,"CHROMATOGRAPHY",8,"6-10"
2016,"CHROMATOGRAPHY",6,"6-10"
2017,"CHROMATOGRAPHY",2,"1-2"
2018,"CHROMATOGRAPHY",4,"3-5"
2019,"CHROMATOGRAPHY",2,"1-2"
2020,"CHROMATOGRAPHY",3,"3-5"
2021,"CHROMATOGRAPHY",6,"6-10"
2001,"COMBUSTION",2,"1-2"
2003,"COMBUSTION",1,"1-2"
2004,"COMBUSTION",1,"1-2"
2005,"COMBUSTION",1,"1-2"
2006,"COMBUSTION",1,"1-2"
2007,"COMBUSTION",2,"1-2"
2008,"COMBUSTION",1,"1-2"
2009,"COMBUSTION",2,"1-2"
2010,"COMBUSTION",4,"3-5"
2011,"COMBUSTION",3,"3-5"
2012,"COMBUSTION",3,"3-5"
2013,"COMBUSTION",6,"6-10"
2014,"COMBUSTION",5,"3-5"
2015,"COMBUSTION",3,"3-5"
2016,"COMBUSTION",1,"1-2"
2017,"COMBUSTION",4,"3-5"
2018,"COMBUSTION",12,"11-20"
2019,"COMBUSTION",13,"11-20"
2020,"COMBUSTION",10,"6-10"
2021,"COMBUSTION",16,"11-20"
2006,"CONCENTRATION",1,"1-2"
2007,"CONCENTRATION",8,"6-10"
2008,"CONCENTRATION",8,"6-10"
2009,"CONCENTRATION",9,"6-10"
2010,"CONCENTRATION",9,"6-10"
2011,"CONCENTRATION",14,"11-20"
2012,"CONCENTRATION",10,"6-10"
2013,"CONCENTRATION",1,"1-2"
2014,"CONCENTRATION",4,"3-5"
2015,"CONCENTRATION",3,"3-5"
2016,"CONCENTRATION",2,"1-2"
2017,"CONCENTRATION",2,"1-2"
2018,"CONCENTRATION",1,"1-2"
2019,"CONCENTRATION",5,"3-5"
2020,"CONCENTRATION",8,"6-10"
2021,"CONCENTRATION",4,"3-5"
2007,"CONTROLLED STUDY",11,"11-20"
2008,"CONTROLLED STUDY",7,"6-10"
2009,"CONTROLLED STUDY",32,"31-40"
2010,"CONTROLLED STUDY",35,"31-40"
2011,"CONTROLLED STUDY",40,"31-40"
2012,"CONTROLLED STUDY",31,"31-40"
2013,"CONTROLLED STUDY",18,"11-20"
2014,"CONTROLLED STUDY",11,"11-20"
2015,"CONTROLLED STUDY",7,"6-10"
2016,"CONTROLLED STUDY",14,"11-20"
2017,"CONTROLLED STUDY",11,"11-20"
2018,"CONTROLLED STUDY",14,"11-20"
2019,"CONTROLLED STUDY",16,"11-20"
2020,"CONTROLLED STUDY",18,"11-20"
2021,"CONTROLLED STUDY",20,"11-20"
2022,"CONTROLLED STUDY",2,"1-2"
2002,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"1-2"
2005,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1-2"
2006,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"1-2"
2007,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1-2"
2008,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"1-2"
2009,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",6,"6-10"
2010,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",5,"3-5"
2011,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",10,"6-10"
2012,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",22,"21-30"
2013,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",9,"6-10"
2014,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",5,"3-5"
2015,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",9,"6-10"
2016,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",6,"6-10"
2017,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",6,"6-10"
2018,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",13,"11-20"
2019,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",10,"6-10"
2020,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",8,"6-10"
2021,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",11,"11-20"
2001,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"3-5"
2002,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"3-5"
2003,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"3-5"
2004,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"1-2"
2005,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"1-2"
2006,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"1-2"
2007,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",15,"11-20"
2008,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",20,"11-20"
2009,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",20,"11-20"
2010,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",24,"21-30"
2011,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",29,"21-30"
2012,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",43,"41-50"
2013,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",22,"21-30"
2014,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",20,"11-20"
2015,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",21,"21-30"
2016,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",12,"11-20"
2017,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",14,"11-20"
2018,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",16,"11-20"
2019,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",14,"11-20"
2020,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",22,"21-30"
2021,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",15,"11-20"
2001,"DECOMPOSITION",2,"1-2"
2002,"DECOMPOSITION",1,"1-2"
2003,"DECOMPOSITION",2,"1-2"
2004,"DECOMPOSITION",3,"3-5"
2005,"DECOMPOSITION",1,"1-2"
2007,"DECOMPOSITION",6,"6-10"
2008,"DECOMPOSITION",10,"6-10"
2009,"DECOMPOSITION",13,"11-20"
2010,"DECOMPOSITION",3,"3-5"
2011,"DECOMPOSITION",3,"3-5"
2012,"DECOMPOSITION",18,"11-20"
2013,"DECOMPOSITION",15,"11-20"
2014,"DECOMPOSITION",5,"3-5"
2015,"DECOMPOSITION",10,"6-10"
2016,"DECOMPOSITION",2,"1-2"
2017,"DECOMPOSITION",9,"6-10"
2018,"DECOMPOSITION",35,"31-40"
2019,"DECOMPOSITION",17,"11-20"
2020,"DECOMPOSITION",22,"21-30"
2021,"DECOMPOSITION",28,"21-30"
2022,"DECOMPOSITION",1,"1-2"
2001,"DEGRADATION",1,"1-2"
2002,"DEGRADATION",1,"1-2"
2003,"DEGRADATION",2,"1-2"
2005,"DEGRADATION",1,"1-2"
2006,"DEGRADATION",1,"1-2"
2007,"DEGRADATION",5,"3-5"
2008,"DEGRADATION",11,"11-20"
2009,"DEGRADATION",12,"11-20"
2010,"DEGRADATION",14,"11-20"
2011,"DEGRADATION",14,"11-20"
2012,"DEGRADATION",12,"11-20"
2013,"DEGRADATION",6,"6-10"
2014,"DEGRADATION",5,"3-5"
2015,"DEGRADATION",3,"3-5"
2016,"DEGRADATION",3,"3-5"
2017,"DEGRADATION",6,"6-10"
2018,"DEGRADATION",3,"3-5"
2019,"DEGRADATION",2,"1-2"
2020,"DEGRADATION",6,"6-10"
2021,"DEGRADATION",4,"3-5"
2007,"DENSITY FUNCTIONAL THEORY (DFT)",4,"3-5"
2008,"DENSITY FUNCTIONAL THEORY (DFT)",8,"6-10"
2009,"DENSITY FUNCTIONAL THEORY (DFT)",11,"11-20"
2010,"DENSITY FUNCTIONAL THEORY (DFT)",5,"3-5"
2011,"DENSITY FUNCTIONAL THEORY (DFT)",6,"6-10"
2012,"DENSITY FUNCTIONAL THEORY (DFT)",13,"11-20"
2013,"DENSITY FUNCTIONAL THEORY (DFT)",10,"6-10"
2014,"DENSITY FUNCTIONAL THEORY (DFT)",2,"1-2"
2015,"DENSITY FUNCTIONAL THEORY (DFT)",8,"6-10"
2016,"DENSITY FUNCTIONAL THEORY (DFT)",4,"3-5"
2017,"DENSITY FUNCTIONAL THEORY (DFT)",7,"6-10"
2018,"DENSITY FUNCTIONAL THEORY (DFT)",9,"6-10"
2019,"DENSITY FUNCTIONAL THEORY (DFT)",8,"6-10"
2020,"DENSITY FUNCTIONAL THEORY (DFT)",10,"6-10"
2021,"DENSITY FUNCTIONAL THEORY (DFT)",11,"11-20"
2003,"DETECTION",1,"1-2"
2008,"DETECTION",1,"1-2"
2009,"DETECTION",3,"3-5"
2010,"DETECTION",6,"6-10"
2011,"DETECTION",5,"3-5"
2012,"DETECTION",13,"11-20"
2013,"DETECTION",3,"3-5"
2014,"DETECTION",10,"6-10"
2015,"DETECTION",8,"6-10"
2016,"DETECTION",9,"6-10"
2017,"DETECTION",5,"3-5"
2018,"DETECTION",9,"6-10"
2019,"DETECTION",6,"6-10"
2020,"DETECTION",10,"6-10"
2021,"DETECTION",5,"3-5"
2006,"DETONATION",1,"1-2"
2007,"DETONATION",5,"3-5"
2008,"DETONATION",7,"6-10"
2009,"DETONATION",14,"11-20"
2010,"DETONATION",4,"3-5"
2011,"DETONATION",6,"6-10"
2012,"DETONATION",11,"11-20"
2013,"DETONATION",10,"6-10"
2014,"DETONATION",14,"11-20"
2015,"DETONATION",6,"6-10"
2016,"DETONATION",7,"6-10"
2017,"DETONATION",7,"6-10"
2018,"DETONATION",36,"31-40"
2019,"DETONATION",33,"31-40"
2020,"DETONATION",33,"31-40"
2021,"DETONATION",41,"41-50"
2004,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",1,"1-2"
2005,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",1,"1-2"
2006,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",1,"1-2"
2007,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",4,"3-5"
2008,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",5,"3-5"
2009,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",7,"6-10"
2010,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",4,"3-5"
2011,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",5,"3-5"
2012,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",8,"6-10"
2013,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",8,"6-10"
2014,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",9,"6-10"
2015,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",5,"3-5"
2016,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",2,"1-2"
2017,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",4,"3-5"
2018,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",23,"21-30"
2019,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",11,"11-20"
2020,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",19,"11-20"
2021,"DIFFERENTIAL SCANNING CALORIMETRY (DSC)",13,"11-20"
2001,"DINITROTOLUENE (DNT)",1,"1-2"
