AIKeywords	CorrectedAIKeywords	CorAIKeywordsAcronym
_ 9-TETRAHYDROCANNABINOL	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
_-CL-20	HEXANITROHEXAAZAISOWURTZITANE (CL-20)	HEXANITROHEXAAZAISOWURTZITANE (CL-20)
_-CL-20	HEXANITROHEXAAZAISOWURTZITANE (CL-20)	HEXANITROHEXAAZAISOWURTZITANE (CL-20)
?-HMX (?-CYCLOTETRAMETHYLENE TETRANITRAMINE)	CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)	CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)
'CHEMICAL FINGERPRINTS'	CHEMICAL FINGERPRINT	CHEMICAL FINGERPRINT
'LEGAL HIGH'	LEGAL HIGHS	LEGAL HIGHS
'LEGAL HIGHS'	LEGAL HIGHS	LEGAL HIGHS
'SPICE'	SPICE	SPICE
"(3,4-METHYLENEDIOXYMETHAMPHETAMINE) MDMA"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
(GC-MS)	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)
(GTG)5-PCR	POLYMERASE CHAIN REACTION (PCR)	POLYMERASE CHAIN REACTION (PCR)
*WORKPLACE	WORKPLACE	WORKPLACE
Âˆ†9-THC	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
Î” 9-TETRAHYDROCANNABINOL	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
Î”Â€‹9-THC	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
Î”9-TETRAHYDROCANNABINOL	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
Î”9-THC	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
ÃƒÅ½Ã‚â‚¬Â9-TETRAHYDROCANNABINOL	DELTA-9-TETRAHYDROCANNABINOL (D-9-THC)	DELTA-9-TETRAHYDROCANNABINOL (D-9-THC)
ÃƒÅ½Ã‚Â±-PVP	"3,4-METHYLENEDIOXYPYROVALERONE (MDPV)"	"3,4-METHYLENEDIOXYPYROVALERONE (MDPV)"
Î´9-TETRAHYDROCANNABINOL (Î´9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
ÃŽÂ”9-THC	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
ÃŽÂ€9-TETRAHYDROCANNABINOL	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
ÃŽÂ€9-THC	delta-9-tetrahydrocannabinol (d-9-THC)	delta-9-tetrahydrocannabinol (d-9-THC)
1 1 DIAMINO 2 2 DINITROETHYLENE FOX 7	"1,1-DIAMINO-2,2-DINITROETHYLENE (FOX-7)"	"1,1-DIAMINO-2,2-DINITROETHYLENE (FOX-7)"
1 3 3 TRINITROAZETIDINE TNAZ	"1,3,3-TRINITROAZETIDINE (TNAZ)"	"1,3,3-TRINITROAZETIDINE (TNAZ)"
1 3 5 TRIAMINO 2 4 6 TRINITROBENZENE TATB	"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE (TATB)"	"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE (TATB)"
1 3 5 TRINITROBENZENE TNB	"1,3,5-TRINITROBENZENE (TNB)"	"1,3,5-TRINITROBENZENE (TNB)"
1 CYANOETHYL 2 CYANOACRYLATE	CYANOACRYLATE	CYANOACRYLATE
1-AMINO-3-NITROGUANIDINE	1-AMINO-3-NITROGUANIDINE (ANQ)	1-AMINO-3-NITROGUANIDINE (ANQ)
1-CYANOETHYL 2-CYANOACRYLATE	CYANOACRYLATE	CYANOACRYLATE
1-NITROGUANIDINE (NQ)	NITROGUANIDINE (NQ)	NITROGUANIDINE (NQ)
"1,1-DIAMINO-2,2-DINITROETHYLENE"	"1,1-DIAMINO-2,2-DINITROETHYLENE (FOX-7)"	"1,1-DIAMINO-2,2-DINITROETHYLENE (FOX-7)"
"1,2 INDANDIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2 INDANDIONE DERIVATIVE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2-INDANDIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2-INDANEDIONES"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2-INDANEKIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,3 INDANDIONE DERIVATIVE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,3-DINITROBENZENE"	DINITROBENZENE (DNB)	DINITROBENZENE (DNB)
"1,3,3-TRINITROAZETIDINE"	"1,3,3-TRINITROAZETIDINE (TNAZ)"	"1,3,3-TRINITROAZETIDINE (TNAZ)"
"1,3,5 TRINITRO 1,3,5 TRIAZINANE"	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
"1,3,5 TRINITROSO 1,3,5 TRIAZINANE"	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE"	"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE (TATB)"	"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE (TATB)"
"1,3,5-TRIAZIDO-2,4,6-TRINITROBENZENE"	"1,3,5-TRIAZIDO-2,4,6-TRINITROBENZENE (TATNB)"	"1,3,5-TRIAZIDO-2,4,6-TRINITROBENZENE (TATNB)"
"1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)"	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
"1,3,5-TRINITRO-1,3,5-TRIAZOCYCLOHEXANE (RDX)"	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
"1,3,5-TRINITROBENZENE"	"1,3,5-TRINITROBENZENE (TNB)"	"1,3,5-TRINITROBENZENE (TNB)"
"1,3,5,5-TETRANITROHEXAHYDROPYRIMIDINE"	"1,3,5,5-TETRANITROHEXAHYDROPYRIMIDINE (TNDA)"	"1,3,5,5-TETRANITROHEXAHYDROPYRIMIDINE (TNDA)"
"1,3,5,7-TETRANITRO-1,3,5,7-TETRAZOCINE"	CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)	CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)
"1,8 DIAZA 9 FLUORENONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZA FLUOREN 9 ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLOREN 9 ONE ALANINE"	"1,8-DIAZAFLUOREN-9-ONE ALANINE(DFO-ALANINE)"	"1,8-DIAZAFLUOREN-9-ONE ALANINE(DFO-ALANINE)"
"1,8 DIAZAFLOUREN 9 ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLUOREN 9 ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLUORENONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUOREN-9-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUOREN-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUORENE-9-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZOFLUORENE-9-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
16S RIBOSOMAL RNA GENE	"RNA, RIBOSOMAL, 16S"	"RNA, RIBOSOMAL, 16S"
16S RRNA GENE	"RNA, RIBOSOMAL, 16S"	"RNA, RIBOSOMAL, 16S"
"2 ,4 ,6 TRINITROTOLUENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2 ,4 ,6-TRINITROTOLUENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2 ,4-DINITRO TOLUENES"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2 ,4-DINITROTOLUENE"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2 ,4-DNT"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
2 3 4 6 TETRANITROANILINE	"2,3,4,6-TETRANITROANILINE"	"2,3,4,6-TETRANITROANILINE"
2 4 6 8 10 12 HEXANITRO 2 4 6 8 10 12 HEXAAZAISOWURTZITANE	HEXANITROHEXAAZAISOWURTZITANE (CL-20)	HEXANITROHEXAAZAISOWURTZITANE (CL-20)
2 4 6-TRINITROTOLUENE.	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
2 4 DINITROANISOLE DNAN	"2,4-DINITROANISOLE (DNAN)"	"2,4-DINITROANISOLE (DNAN)"
2 4-DINITROTOLENE	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
2 4-DINITROTOLUENE	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
2 6 DIAMINO 3 5 DINITROPYRAZINE 1 OXIDE LLM 105	"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE (LLM-105)"	"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE (LLM-105)"
2 CYANOETHYL 2 CYANOACRYLATE	CYANOACRYLATE	CYANOACRYLATE
"2-CHLORO-1,3,5-TRINITROBENZENE"	PICRYL CHLORIDE	PICRYL CHLORIDE
2-CYANOETHYL 2-CYANOACRYLATE	CYANOACRYLATE	CYANOACRYLATE
2-INDANDIONE	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
2-INDANEDIONE	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
2-PHENOXYETHANOL	2 PHENOXYETHANOL	2 PHENOXYETHANOL
"2,2',4,4',6,6'-HEXANITROSTILBENE"	HEXANITROSTILBENE (HNS)	HEXANITROSTILBENE (HNS)
"2,4 DINITROTOLUENE"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2,4 DINITROTOULENE"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2,4-DINITRO TOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2,4-Dinitro-2,4-diazapentane"	"2,4-Dinitro-2,4-diazapentane (DNDA-5)"	"2,4-Dinitro-2,4-diazapentane (DNDA-5)"
"2,4-DINITROANILISOLE (DNAN)"	"2,4-DINITROANISOLE (DNAN)"	"2,4-DINITROANISOLE (DNAN)"
"2,4-DINITROTOLUENE"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2,4-DNT"	"2,4-DINITROTOLUENE (DNT)"	"2,4-DINITROTOLUENE (DNT)"
"2,4,6 TRINITROTOLUENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6 TRINITROTOLUENE N 15"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-TIRNITROTOLUENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-TNT"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-TRINITRENOTOLUENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-TRINITRO-1,3-DIHYDROXYBENZENE"	STYPHNIC ACID	STYPHNIC ACID
"2,4,6-TRINITROCHLOROBENZENE"	PICRYL CHLORIDE	PICRYL CHLORIDE
"2,4,6-TRINITROPHENOL"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,4,6-TRINITROPHENOL"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,4,6-TRINITROPHENOL (TNP)"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,4,6-TRINITROPHENOL (TNP)"	PICRIC ACID (PA)	PICRIC ACID (PA)
