RunID,SampleID,SurfaceProcessingOrder,SurfaceID,Surface_type,TestOrder,Pressure_level,Pressure_g,Solvent_level,Solvent_detail,Test_DateTime,Operator,Temp_C,Humidity_pct,Time Cleaned,Time Spiked,Time Swabbed,Date Extracted
PILOT_001,P_Steel_04_T1,1,Steel_04,steel,1,high,200,absent,dry,,,,,,,,
PILOT_002,P_Steel_04_T2,1,Steel_04,steel,2,high,200,present,100uL_EtOH,,,,,,,,
PILOT_003,P_Steel_04_T3,1,Steel_04,steel,3,low,50,present,100uL_EtOH,,,,,,,,
PILOT_004,P_Steel_04_T4,1,Steel_04,steel,4,low,50,absent,dry,,,,,,,,
PILOT_005,P_Steel_02_T1,2,Steel_02,steel,1,low,50,present,100uL_EtOH,,,,,,,,
PILOT_006,P_Steel_02_T2,2,Steel_02,steel,2,high,200,present,100uL_EtOH,,,,,,,,
PILOT_007,P_Steel_02_T3,2,Steel_02,steel,3,high,200,absent,dry,,,,,,,,
PILOT_008,P_Steel_02_T4,2,Steel_02,steel,4,low,50,absent,dry,,,,,,,,
PILOT_009,P_Steel_03_T1,3,Steel_03,steel,1,high,200,present,100uL_EtOH,,,,,,,,
PILOT_010,P_Steel_03_T2,3,Steel_03,steel,2,high,200,absent,dry,,,,,,,,
PILOT_011,P_Steel_03_T3,3,Steel_03,steel,3,low,50,absent,dry,,,,,,,,
PILOT_012,P_Steel_03_T4,3,Steel_03,steel,4,low,50,present,100uL_EtOH,,,,,,,,
PILOT_013,P_ABS_03_T1,4,ABS_03,abs,1,high,200,absent,dry,,,,,,,,
PILOT_014,P_ABS_03_T2,4,ABS_03,abs,2,low,50,present,100uL_EtOH,,,,,,,,
PILOT_015,P_ABS_03_T3,4,ABS_03,abs,3,high,200,present,100uL_EtOH,,,,,,,,
PILOT_016,P_ABS_03_T4,4,ABS_03,abs,4,low,50,absent,dry,,,,,,,,
PILOT_017,P_ABS_02_T1,5,ABS_02,abs,1,high,200,absent,dry,,,,,,,,
PILOT_018,P_ABS_02_T2,5,ABS_02,abs,2,low,50,absent,dry,,,,,,,,
PILOT_019,P_ABS_02_T3,5,ABS_02,abs,3,low,50,present,100uL_EtOH,,,,,,,,
PILOT_020,P_ABS_02_T4,5,ABS_02,abs,4,high,200,present,100uL_EtOH,,,,,,,,
PILOT_021,P_ABS_04_T1,6,ABS_04,abs,1,low,50,absent,dry,,,,,,,,
PILOT_022,P_ABS_04_T2,6,ABS_04,abs,2,low,50,present,100uL_EtOH,,,,,,,,
PILOT_023,P_ABS_04_T3,6,ABS_04,abs,3,high,200,present,100uL_EtOH,,,,,,,,
PILOT_024,P_ABS_04_T4,6,ABS_04,abs,4,high,200,absent,dry,,,,,,,,
PILOT_025,P_ABS_01_T1,7,ABS_01,abs,1,low,50,present,100uL_EtOH,,,,,,,,
PILOT_026,P_ABS_01_T2,7,ABS_01,abs,2,high,200,present,100uL_EtOH,,,,,,,,
PILOT_027,P_ABS_01_T3,7,ABS_01,abs,3,high,200,absent,dry,,,,,,,,
PILOT_028,P_ABS_01_T4,7,ABS_01,abs,4,low,50,absent,dry,,,,,,,,
PILOT_029,P_Steel_01_T1,8,Steel_01,steel,1,high,200,absent,dry,,,,,,,,
PILOT_030,P_Steel_01_T2,8,Steel_01,steel,2,low,50,present,100uL_EtOH,,,,,,,,
PILOT_031,P_Steel_01_T3,8,Steel_01,steel,3,high,200,present,100uL_EtOH,,,,,,,,
PILOT_032,P_Steel_01_T4,8,Steel_01,steel,4,low,50,absent,dry,,,,,,,,
