"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Liu H.; Chen Z.; Ma Y.; Lv M.; Yin S.; Shang F.; Liu J.","Liu, Huaxin (58779370800); Chen, Zhiyang (59343052700); Ma, Yinhua (57200660685); Lv, Meiheng (57197824789); Yin, Shuhui (14053332500); Shang, Fangjian (57214764092); Liu, Jianyong (27171647000)","58779370800; 59343052700; 57200660685; 57197824789; 14053332500; 57214764092; 27171647000","Theoretical Study on the Synthesis Efficiency and Yield of Imidazole Derivatives Based on the Glyoxal and Diamine","2024","International Journal of Quantum Chemistry","124","19","e27476","","","","0","10.1002/qua.27476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204933567&doi=10.1002%2fqua.27476&partnerID=40&md5=226d090d8c344b74acc74ab13cc51143","Article","Final","","Scopus","2-s2.0-85204933567"
"Endraß S.M.J.; Klapötke T.M.; Lommel M.; Stierstorfer J.; Weidemann M.L.; Werner M.","Endraß, Simon M. J. (57218353039); Klapötke, Thomas M. (7102225410); Lommel, Marcus (57203504231); Stierstorfer, Jörg (22956620000); Weidemann, Martin L. (57249839500); Werner, Melanie (58961254300)","57218353039; 7102225410; 57203504231; 22956620000; 57249839500; 58961254300","1- and 2-Tetrazolylacetonitrile as Versatile Ligands for Laser Ignitable Energetic Coordination Compounds","2024","ChemPlusChem","89","7","e202400031","","","","0","10.1002/cplu.202400031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188958134&doi=10.1002%2fcplu.202400031&partnerID=40&md5=9e61815665e20adbd3c42e00a63a408e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188958134"
"Chen J.; Zhou S.-Y.; Jiang L.; Xie L.-F.; Yang G.-C.; Zhang D.","Chen, Jiu (57219027484); Zhou, Si-Yuan (57384991100); Jiang, Lin (55868484200); Xie, Li-Feng (36128136100); Yang, Guang-Cheng (11641266300); Zhang, Dan (58018066600)","57219027484; 57384991100; 55868484200; 36128136100; 11641266300; 58018066600","Pyrolysis kinetics and reaction mechanism studies of 5-Amino-1H-Tetrazole with thermogravimetry/ differential scanning calorimetry/ Fourier transform infrared analysis","2024","Journal of Analytical and Applied Pyrolysis","181","","106588","","","","1","10.1016/j.jaap.2024.106588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195427724&doi=10.1016%2fj.jaap.2024.106588&partnerID=40&md5=70bf269900faf996010908b8e9dc0ee5","Article","Final","","Scopus","2-s2.0-85195427724"
"Li J.; Wang Y.; Lin K.; Luo Y.","Li, Junzhuo (57202025118); Wang, Yuanjing (58906386000); Lin, Kaifeng (57204324919); Luo, Yiming (55799403000)","57202025118; 58906386000; 57204324919; 55799403000","Recent application of porous materials in explosives: A mini-review","2024","FirePhysChem","4","3","","264","275","11","2","10.1016/j.fpc.2024.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188597956&doi=10.1016%2fj.fpc.2024.03.001&partnerID=40&md5=09c162b83acede6ecad0bde6e774b8f5","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188597956"
"Wang J.; Xie Z.; Liu J.","Wang, Jingcheng (59169209800); Xie, Zhongyuan (7402267541); Liu, Jing (59169209900)","59169209800; 7402267541; 59169209900","A comprehensive review on flow field properties in polymer mixing processes: a focus on applications in energetic materials","2024","Materials Research Express","11","6","062001","","","","0","10.1088/2053-1591/ad48dc","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195809923&doi=10.1088%2f2053-1591%2fad48dc&partnerID=40&md5=649cce512b63a1323fc2f06d98d04a39","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85195809923"
"Lawrence J.R.; Montoya G.A.; Koeblitz A.D.; Son S.F.","Lawrence, Joseph R. (57222372750); Montoya, Gabriel A. (58184160300); Koeblitz, Austin D. (59124343000); Son, Steven F. (7202529994)","57222372750; 58184160300; 59124343000; 7202529994","Influence and comparison of cylindrical engineered defects on detonation waveshape in a rubberized RDX explosive","2024","Propellants, Explosives, Pyrotechnics","49","6","e202300292","","","","2","10.1002/prep.202300292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192880984&doi=10.1002%2fprep.202300292&partnerID=40&md5=9db925b4e4afc806fefcb5e7e9b117aa","Article","Final","","Scopus","2-s2.0-85192880984"
"Lou W.; Li Z.; Feng H.; Li M.","Lou, Wenzhong (15757538600); Li, Zhipeng (59187986500); Feng, Hengzhen (56978567500); Li, Mingyu (57188823675)","15757538600; 59187986500; 56978567500; 57188823675","Research on Self-Destruction Module of Information Storage Media Based on Semiconductor Bridge and Energetic Materials; [基于半导体桥和含能材料的信息储存介质自毁模块研究]","2024","Beijing Ligong Daxue Xuebao/Transaction of Beijing Institute of Technology","44","6","","579","587","8","0","10.15918/j.tbit1001-0645.2023.151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196790627&doi=10.15918%2fj.tbit1001-0645.2023.151&partnerID=40&md5=305fc020404c0c5638bc2411aa432830","Article","Final","","Scopus","2-s2.0-85196790627"
"Liu Y.; Guo Y.; Li J.; Han K.; An C.; Ma Z.; Wu B.","Liu, Yi (57933180800); Guo, Yunyan (57337850900); Li, Jiafei (58959473700); Han, Kai (57933261600); An, Chongwei (16401020400); Ma, Zhongliang (7403600431); Wu, Bidong (59296074100)","57933180800; 57337850900; 58959473700; 57933261600; 16401020400; 7403600431; 59296074100","Controllable preparation of hexanitrostilbene (HNS) microspheres with multi-cavity structure to enhance safety and combustion performance","2025","Powder Technology","449","","120397","","","","0","10.1016/j.powtec.2024.120397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207365513&doi=10.1016%2fj.powtec.2024.120397&partnerID=40&md5=43de6cc6f25ac8d14de9a24c458f4a44","Article","Final","","Scopus","2-s2.0-85207365513"
"Yu P.-D.; Liu Q.-Q.; Ding X.-Y.; Liu Y.-L.; Gao H.-X.","Yu, Pei-Dong (57956380000); Liu, Qiang-Qiang (7406293731); Ding, Xiao-Yong (55972010600); Liu, Ying-Le (55207246600); Gao, Hai-Xiang (7402971664)","57956380000; 7406293731; 55972010600; 55207246600; 7402971664","Intriguing Fluorine Effect：An Important Factor for Effective Construction Insensitive Energetic Materials; [奇 特 氟 效 应 ：一 个 有 效 构 筑 不 敏 感 含 能 材 料 的 重 要 因 素]","2024","Hanneng Cailiao/Chinese Journal of Energetic Materials","32","6","","641","650","9","1","10.11943/CJEM2024061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197565224&doi=10.11943%2fCJEM2024061&partnerID=40&md5=d561797b3c2f9fe64788abe76f31174f","Article","Final","","Scopus","2-s2.0-85197565224"
"Thoenen M.; Scherschel N.F.; Piercey D.G.","Thoenen, Michael (57219319606); Scherschel, Nicholas F. (57226503129); Piercey, Davin G. (16231187300)","57219319606; 57226503129; 16231187300","Economic, One-Pot Synthesis of Diethyl Furoxan Dicarboxylate","2024","Organic Process Research and Development","28","10","","3808","3812","4","0","10.1021/acs.oprd.4c00191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205935561&doi=10.1021%2facs.oprd.4c00191&partnerID=40&md5=66c3f9f8e9c29d195321bc1cee055c35","Article","Final","","Scopus","2-s2.0-85205935561"
"Jiang Z.-Y.; Hou J.; Zhan L.-W.; Li B.-D.","Jiang, Zhi-Yuan (58683925200); Hou, Jing (57210433954); Zhan, Le-Wu (57031378400); Li, Bin-Dong (26642865800)","58683925200; 57210433954; 57031378400; 26642865800","Application Study of Micro-reaction Technology in the Preparation of Energetic Materials; [微反应技术在含能材料制备中的应用研究]","2024","Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","47","6","","485","497","12","0","10.14077/j.issn.1007-7812.202405001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199714085&doi=10.14077%2fj.issn.1007-7812.202405001&partnerID=40&md5=a7cf65f280780ba63cc80be79373c1e2","Article","Final","","Scopus","2-s2.0-85199714085"
"Polis M.; Stolarczyk A.; Szydło K.; Lisiecka B.; Procek M.; Sławski S.; Domagała W.; Iksal J.; Jarosz T.","Polis, Mateusz (57288632000); Stolarczyk, Agnieszka (23096062600); Szydło, Konrad (57907064200); Lisiecka, Barbara (59176018100); Procek, Marcin (55481021200); Sławski, Sebastian (57207255533); Domagała, Wojciech (7006597878); Iksal, Jakub (59252553800); Jarosz, Tomasz (55353560400)","57288632000; 23096062600; 57907064200; 59176018100; 55481021200; 57207255533; 7006597878; 59252553800; 55353560400","Ti/CuO Nanothermite Doped with Secondary Energetic Materials: A Study of Combustion Parameters","2024","Molecules","29","15","3664","","","","0","10.3390/molecules29153664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200787132&doi=10.3390%2fmolecules29153664&partnerID=40&md5=5982937e662e8cc2bec10bda08c84e84","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200787132"
"Gandhi P.M.; Schoenitz M.; Wainwright E.R.; Gottfried J.L.; Dreizin E.L.","Gandhi, Purvam Mehulkumar (57224858892); Schoenitz, Mirko (6602552939); Wainwright, Elliot R. (57196424617); Gottfried, Jennifer L. (15070152000); Dreizin, Edward L. (7003979824)","57224858892; 6602552939; 57196424617; 15070152000; 7003979824","Spherical composite powders combining boron with ammonium and potassium nitrates","2024","Combustion and Flame","266","","113525","","","","1","10.1016/j.combustflame.2024.113525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193818173&doi=10.1016%2fj.combustflame.2024.113525&partnerID=40&md5=92aa62e2bf964e9c297bc1ff5ceda416","Article","Final","","Scopus","2-s2.0-85193818173"
"Polis M.; Stolarczyk A.; Szydło K.; Lisiecka B.; Procek M.; Sławski S.; Gołofit T.; Hawelek Ł.; Jarosz T.","Polis, Mateusz (57288632000); Stolarczyk, Agnieszka (23096062600); Szydło, Konrad (57907064200); Lisiecka, Barbara (59176018100); Procek, Marcin (55481021200); Sławski, Sebastian (57207255533); Gołofit, Tomasz (23488285200); Hawelek, Łukasz (8732211600); Jarosz, Tomasz (55353560400)","57288632000; 23096062600; 57907064200; 59176018100; 55481021200; 57207255533; 23488285200; 8732211600; 55353560400","Novel NSTEX System Based on Ti/CuO/NC Nanothermite Doped with NTO","2024","Energies","17","15","3675","","","","0","10.3390/en17153675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200731432&doi=10.3390%2fen17153675&partnerID=40&md5=8c3e7008ccfe952f3bcd3df2f9e59d66","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200731432"
"He B.; Han Z.; Wang J.; Li Y.; Li J.; Song S.; Li C.; Liu W.; Wu C.","He, Biao (58688136700); Han, Zhiwei (55243110500); Wang, Jingyan (57221790629); Li, Yaning (57211571220); Li, Jian (56480378200); Song, Saichao (57667531800); Li, Chen (57579639100); Liu, Wei (57207219509); Wu, Chengyang (58728576000)","58688136700; 55243110500; 57221790629; 57211571220; 56480378200; 57667531800; 57579639100; 57207219509; 58728576000","Construction of Al@PTFE composites with excellent ignition and combustion properties through mechanical and thermal activation","2024","Journal of Alloys and Compounds","987","","174178","","","","2","10.1016/j.jallcom.2024.174178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188118657&doi=10.1016%2fj.jallcom.2024.174178&partnerID=40&md5=a249e5405147e76cdab2964bf20b299e","Article","Final","","Scopus","2-s2.0-85188118657"
"Zang X.; Cheng J.; Xu J.; Gozin M.; Ye Y.; Shen R.","Zang, Xiaowei (57212477689); Cheng, Jian (55583318200); Xu, Jianbing (56849592200); Gozin, Michael (8908304900); Ye, Yinghua (8637487600); Shen, Ruiqi (7202935837)","57212477689; 55583318200; 56849592200; 8908304900; 8637487600; 7202935837","Interactions between microwaves and smart energetic materials: A review on emerging technologies for ignition and combustion enhancement","2024","Chemical Engineering Journal","498","","155031","","","","0","10.1016/j.cej.2024.155031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202532036&doi=10.1016%2fj.cej.2024.155031&partnerID=40&md5=63718c62b4ebcc2f2fc588d403a72f76","Review","Final","","Scopus","2-s2.0-85202532036"
"Wang Y.; Zhang G.; Tang A.; Lu M.; Wang P.","Wang, Yuqiu (58118649600); Zhang, Guangyuan (59358784000); Tang, Aijia (59357402000); Lu, Ming (56233529100); Wang, Pengcheng (56237289100)","58118649600; 59358784000; 59357402000; 56233529100; 56237289100","Dehydrogenative Coupling of LLM-116 over Copper-Nickel Oxide Nanoparticles: TEMPO-Mediated Homogeneous Electrocatalysis","2024","ACS Sustainable Chemistry and Engineering","12","41","","15228","15239","11","0","10.1021/acssuschemeng.4c06249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205756350&doi=10.1021%2facssuschemeng.4c06249&partnerID=40&md5=8e7a24b00541d2c11e88308a9086122c","Article","Final","","Scopus","2-s2.0-85205756350"
"Khoranyan T.E.; Larin A.A.; Suponitsky K.Y.; Ananyev I.V.; Melnikov I.N.; Kosareva E.K.; Muravyev N.V.; Dalinger I.L.; Pivkina A.N.; Fershtat L.L.","Khoranyan, Tigran E. (57260966200); Larin, Alexander A. (59315423900); Suponitsky, Kyrill Yu. (6603143898); Ananyev, Ivan V. (6508039780); Melnikov, Igor N. (57199734688); Kosareva, Ekaterina K. (57223217108); Muravyev, Nikita V. (36139563200); Dalinger, Igor L. (6603786714); Pivkina, Alla N. (6603037564); Fershtat, Leonid L. (36457430400)","57260966200; 59315423900; 6603143898; 6508039780; 57199734688; 57223217108; 36139563200; 6603786714; 6603037564; 36457430400","First Alliance of Pyrazole and Furoxan Leading to High-Performance Energetic Materials","2024","ACS Applied Materials and Interfaces","16","40","","53972","53979","7","0","10.1021/acsami.4c12242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205906286&doi=10.1021%2facsami.4c12242&partnerID=40&md5=1ea15a9b4883b7024fa17fa43efbac13","Article","Final","","Scopus","2-s2.0-85205906286"
"Gu Z.; Bo M.; Gao Z.; Xu J.; Chen J.; Xiao T.; Ma P.","Gu, Zhihui (58906535300); Bo, Mengjie (58905492300); Gao, Zikai (58906185800); Xu, Jiani (57833862800); Chen, Jun (58039316100); Xiao, Tingting (58039535400); Ma, Peng (57206028674)","58906535300; 58905492300; 58906185800; 57833862800; 58039316100; 58039535400; 57206028674","Theoretical study on different substituent-modified derivatives of 6-dinitrophenyl-5,6,7,8-tetrahydro-4-imidazo [4,5-e]furazano[3,4-b] pyrazine","2024","Journal of Molecular Modeling","30","6","192","","","","0","10.1007/s00894-024-05993-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194896943&doi=10.1007%2fs00894-024-05993-2&partnerID=40&md5=b64039e685c3287fda31d8fa031eff05","Article","Final","","Scopus","2-s2.0-85194896943"
"Liu W.-H.; Liu Q.-J.; Liu F.-S.; Liu Z.-T.","Liu, Wei-Hong (57211967958); Liu, Qi-Jun (35264665900); Liu, Fu-Sheng (57141047400); Liu, Zheng-Tang (56473735300)","57211967958; 35264665900; 57141047400; 56473735300","Machine learning approaches for predicting impact sensitivity and detonation performances of energetic materials","2025","Journal of Energy Chemistry","102","","","161","171","10","0","10.1016/j.jechem.2024.10.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209632245&doi=10.1016%2fj.jechem.2024.10.035&partnerID=40&md5=ab3e5c3557e47f13664db1661aa0fc39","Article","Final","","Scopus","2-s2.0-85209632245"
"Polis M.; Stolarczyk A.; Szydło K.; Jarosz T.; Procek M.; Sławski S.; Gołofit T.; Lisiecka B.; Hawełek Ł.","Polis, Mateusz (57288632000); Stolarczyk, Agnieszka (23096062600); Szydło, Konrad (57907064200); Jarosz, Tomasz (55353560400); Procek, Marcin (55481021200); Sławski, Sebastian (57207255533); Gołofit, Tomasz (23488285200); Lisiecka, Barbara (59176018100); Hawełek, Łukasz (8732211600)","57288632000; 23096062600; 57907064200; 55353560400; 55481021200; 57207255533; 23488285200; 59176018100; 8732211600","Ti/CuO and Ti/CuO/Cellulose Nitrate Nanothermites: An Early Insight into Their Combustion Mechanism","2024","Energies","17","17","4333","","","","0","10.3390/en17174333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203624501&doi=10.3390%2fen17174333&partnerID=40&md5=31e54589b4e5515d88cd0b752b7d04b9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203624501"
"Luo L.-Q.; Jin B.; Peng R.-F.","Luo, Li-Qiong (57194596947); Jin, Bo (56597403600); Peng, Ru-Fang (7102381552)","57194596947; 56597403600; 7102381552","Synthesis and Properties Characterization of Energetic Metal-organic Framework [Ag2 (HOBTT)]„; [含能金属有机框架[Ag2 (HOBTT)]狀的制备与性能表征]","2024","Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","47","9","","779","786","7","1","10.14077/j.issn.1007-7812.202310008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198074502&doi=10.14077%2fj.issn.1007-7812.202310008&partnerID=40&md5=a2df5ae3dc9fc95dfc9856bb33fc6d3b","Article","Final","","Scopus","2-s2.0-85198074502"
"Li W.; Wang T.; Guo W.; Yu M.; Wang J.; Ma Z.; Gao N.","Li, Weiyi (59178078600); Wang, Tao (56380756900); Guo, Wanxiao (57212257565); Yu, Miaosen (57224811667); Wang, Jintao (54793501000); Ma, Zongxiang (59365851100); Gao, Ning (57350027500)","59178078600; 56380756900; 57212257565; 57224811667; 54793501000; 59365851100; 57350027500","Radiation defect formation and effect on mechanical property in octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine investigated by molecular dynamics method","2024","Chemical Engineering Journal Advances","20","","100653","","","","0","10.1016/j.ceja.2024.100653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206339594&doi=10.1016%2fj.ceja.2024.100653&partnerID=40&md5=f1106c724f5963351cc0f614d2427974","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206339594"
"Yan T.-T.; Xu Y.-F.; Xi D.-Y.; Yu Z.; Ma L.; Zhang D.-D.; Jiang R.","Yan, Ting-ting (56370689200); Xu, Yi-fei (58609379800); Xi, Dong-yang (56177749500); Yu, Zhiqing (56654567100); Ma, Long (57199701914); Zhang, Dan-dan (58608362500); Jiang, Ran (58608867600)","56370689200; 58609379800; 56177749500; 56654567100; 57199701914; 58608362500; 58608867600","In-situ high pressure study of hydrogen-bonded energetic material N-nitropyrazole","2024","Chemical Physics Letters","852","","141501","","","","0","10.1016/j.cplett.2024.141501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200608793&doi=10.1016%2fj.cplett.2024.141501&partnerID=40&md5=49be7af97600252cbaeab0aabaf826e7","Article","Final","","Scopus","2-s2.0-85200608793"
"Zhang X.; Liu Q.-J.; Liu F.-S.; Liu Z.-T.","Zhang, Xuan (59000189200); Liu, Qi-Jun (35264665900); Liu, Fu-Sheng (57141047400); Liu, Zheng-Tang (56473735300)","59000189200; 35264665900; 57141047400; 56473735300","Predicting the thermal decomposition temperature of energetic materials from a simple model","2024","Journal of Molecular Modeling","30","8","277","","","","0","10.1007/s00894-024-06075-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199132423&doi=10.1007%2fs00894-024-06075-z&partnerID=40&md5=b413cb04bb0bf8ff6819bc55221ad645","Article","Final","","Scopus","2-s2.0-85199132423"
"He X.; Chen C.; Zhang Z.; Yu T.; Wen L.; Cao Y.; Liu Y.","He, Xiaokai (58097952800); Chen, Chao (57192205294); Zhang, Zhixiang (57818286400); Yu, Tao (58732083300); Wen, Linyuan (57223990071); Cao, Yilin (57218266224); Liu, Yingzhe (36243930600)","58097952800; 57192205294; 57818286400; 58732083300; 57223990071; 57218266224; 36243930600","Molecule Empowerment and Crystal Desensitization: A Multilevel Structure-Property Analysis toward Designing High-Energy Low-Sensitivity Layered Energetic Materials","2024","ACS Applied Materials and Interfaces","16","36","","47429","47442","13","0","10.1021/acsami.4c07344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202777461&doi=10.1021%2facsami.4c07344&partnerID=40&md5=41e684709a9369ef0d1200b1aed02e31","Article","Final","","Scopus","2-s2.0-85202777461"
"Jiang X.; Yin D.; Fan M.; Wang Y.; Wang R.; Song S.; Zhang Q.","Jiang, Xiue (57315972200); Yin, Dangyue (58924770600); Fan, Mingren (59127069800); Wang, Yi (57221518448); Wang, Ruihui (59126856700); Song, Siwei (57200449403); Zhang, Qinghua (55759006200)","57315972200; 58924770600; 59127069800; 57221518448; 59126856700; 57200449403; 55759006200","Approaching the Thermostability Limit of Nitrogen-Rich Heterocyclic Perchlorate-Based Energetic Materials","2024","ACS Applied Materials and Interfaces","16","37","","49434","49441","7","0","10.1021/acsami.4c11181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203124166&doi=10.1021%2facsami.4c11181&partnerID=40&md5=a62a5002a9c8aec16aafcd71d1804409","Article","Final","","Scopus","2-s2.0-85203124166"
"Xiong Z.; Xu X.; Jia X.","Xiong, Zhangling (58961166900); Xu, Xiao (57194640825); Jia, Xu (36183813900)","58961166900; 57194640825; 36183813900","A molecular dynamics simulation study of thermal transport in hydrazinium cyclo-pentazolate","2024","Journal of Physics Condensed Matter","36","25","255705","","","","0","10.1088/1361-648X/ad31bd","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188957184&doi=10.1088%2f1361-648X%2fad31bd&partnerID=40&md5=2acc51791dd4b84929633d48f61e7e49","Article","Final","","Scopus","2-s2.0-85188957184"
"Du W.; Yang L.; Feng J.; Zhu W.-H.; Li J.-S.; Zhang P.-C.; Ma Q.","Du, Wei (57562576200); Yang, Lei (57391865600); Feng, Jing (58094756100); Zhu, Wei-hua (55261536100); Li, Jin-shan (56398609000); Zhang, Peng-cheng (57193341577); Ma, Qing (55461820400)","57562576200; 57391865600; 58094756100; 55261536100; 56398609000; 57193341577; 55461820400","Advancements in methodologies and techniques for the synthesis of energetic materials: A review","2024","Energetic Materials Frontiers","5","2","","175","190","15","0","10.1016/j.enmf.2024.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196026710&doi=10.1016%2fj.enmf.2024.06.002&partnerID=40&md5=43fa80bf95b2ccbf0f69d95f569c36ac","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196026710"
"Ma H.; Yang L.; Yao C.; Zhao S.; Jiao F.; Luo G.; Chen G.","Ma, Haiyun (57200816167); Yang, Lixia (57077183400); Yao, Chaoqun (55578255800); Zhao, Shuainan (57191338222); Jiao, Fengjun (15052122700); Luo, Guangsheng (55499256700); Chen, Guangwen (7406536452)","57200816167; 57077183400; 55578255800; 57191338222; 15052122700; 55499256700; 7406536452","Liquid-liquid addition reaction of ethylene oxide with hydrazine hydrate in microreactors: Kinetics and process optimization","2024","Chemical Engineering Journal","497","","154511","","","","0","10.1016/j.cej.2024.154511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200410822&doi=10.1016%2fj.cej.2024.154511&partnerID=40&md5=c446bc6eb289ba84d17567018b488a96","Article","Final","","Scopus","2-s2.0-85200410822"
"Huang J.-H.; Ji A.-Q.; Wang Z.-Y.; Wang Q.-Y.; Zang S.-Q.","Huang, Jia-Hong (57219611281); Ji, Ao-Qi (58966454700); Wang, Zhao-Yang (57192240194); Wang, Qian-You (56415348900); Zang, Shuang-Quan (7006779489)","57219611281; 58966454700; 57192240194; 56415348900; 7006779489","Boosting 2000-Fold Hypergolic Ignition Rate of Carborane by Substitutes Migration in Metal Clusters","2024","Advanced Science","11","23","2401861","","","","0","10.1002/advs.202401861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189200011&doi=10.1002%2fadvs.202401861&partnerID=40&md5=9355508d9a07183836611016de743070","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189200011"
"Bhattacharjee A.; Saha S.; Patel J.; Bhagat S.; Kumar A.; Pawar R.B.; Sudhir S.S.; Chowdhury A.; Namboothiri I.N.N.; Kumbhakarna N.","Bhattacharjee, Argha (57203090074); Saha, Shani (58608706500); Patel, Jay (58278895700); Bhagat, Shweta (36197845400); Kumar, Arvind (57307778000); Pawar, R.B. (57196749718); Sudhir, S.S. (58638464400); Chowdhury, Arindrajit (14024143300); Namboothiri, Irishi N.N. (6603390445); Kumbhakarna, Neeraj (36598859700)","57203090074; 58608706500; 58278895700; 36197845400; 57307778000; 57196749718; 58638464400; 14024143300; 6603390445; 36598859700","Tetrazole-grafted-hydroxyl terminated polybutadiene: A novel energetic binder for solid rocket propulsion","2024","European Polymer Journal","217","","113330","","","","0","10.1016/j.eurpolymj.2024.113330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199275570&doi=10.1016%2fj.eurpolymj.2024.113330&partnerID=40&md5=8e29e09c76a2b47f1609869751815ca1","Article","Final","","Scopus","2-s2.0-85199275570"
"Lu R.; Zhang G.; Jiang S.; Zhang K.; Lu M.; Wang P.","Lu, Ruyi (58568872600); Zhang, Guangyuan (56159166200); Jiang, Shuaijie (57555682900); Zhang, Kejing (59253171500); Lu, Ming (56233529100); Wang, Pengcheng (56237289100)","58568872600; 56159166200; 57555682900; 59253171500; 56233529100; 56237289100","Expanding the π -conjugate structures: Synthesis of high-energy and insensitive Tricyclic fused energetic material","2025","Journal of Molecular Structure","1319","","139551","","","","0","10.1016/j.molstruc.2024.139551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200804497&doi=10.1016%2fj.molstruc.2024.139551&partnerID=40&md5=44bd07a11c7614f231fdc10990d81714","Article","Final","","Scopus","2-s2.0-85200804497"
"Zong H.-Z.; Zhang P.; Yao J.-X.; Hao G.-Z.; Wang S.-W.; Zhang G.-P.; Ren H.; Xiao L.; Jiang W.","Zong, Hu-Zeng (57287972600); Zhang, Peng (59186885500); Yao, Jing-Xiao (59187908600); Hao, Ga-Zi (56549563400); Wang, Su-Wei (57205701230); Zhang, Guang-Pu (57199236193); Ren, Hao (57883906900); Xiao, Lei (25625395800); Jiang, Wei (56931746300)","57287972600; 59186885500; 59187908600; 56549563400; 57205701230; 57199236193; 57883906900; 25625395800; 56931746300","Effect of Printing Parameters on the Surface Roughness of 3D-Printed Melt-Cast Explosive Substitutes Based on Melt Extrusion Technology","2024","3D Printing and Additive Manufacturing","11","3","","e1394","e1406","12","0","10.1089/3dp.2022.0245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196815287&doi=10.1089%2f3dp.2022.0245&partnerID=40&md5=d19fba1443dce033173b8f517330d2d1","Article","Final","","Scopus","2-s2.0-85196815287"
"Klapötke T.M.; Krumm B.; Riedelsheimer C.","Klapötke, Thomas M. (7102225410); Krumm, Burkhard (7004858232); Riedelsheimer, Christian (57218164074)","7102225410; 7004858232; 57218164074","Trinitroethyl hydrazides of dicarbonic acids – Energetic compounds with high oxygen and nitrogen content","2024","Propellants, Explosives, Pyrotechnics","49","6","e202300266","","","","1","10.1002/prep.202300266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192813933&doi=10.1002%2fprep.202300266&partnerID=40&md5=cead59777d9123b3d9371ec8c74b59a8","Article","Final","","Scopus","2-s2.0-85192813933"
