"DOI","Link","Abstract","EID"
"10.1007/s00894-013-1793-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878760930&doi=10.1007%2fs00894-013-1793-0&partnerID=40&md5=aa4f10f59acdbd40e4e142d863154157","A comparative theoretical investigation into the change in strength of the trigger-bond upon formation of the Na+, Mg2+ and HF complexes involving the nitro group of RNO2 (R = -CH3, -NH2, -OCH3) or the C = C bond of (E)-O2N-CH = CH-NO2 was carried out using the B3LYP and MP2(full) methods with the 6-311++G**, 6-311++G(2df,2p) and aug-cc-pVTZ basis sets. Except for the Mg2+⋯π system with (E)-O2N-CH = CH-NO 2 (i.e., C2H2N2O4⋯ Mg2+), the strength of the trigger-bond X-NO2 (X = C, N or O) was enhanced upon complex formation. Furthermore, the increment of bond dissociation energy of the X-NO2 bond in the Na+ complex was far greater than that in the corresponding HF system. Thus, the explosive sensitivity in the former might be lower than that in the latter. For C 2H2N2O4⋯Mg2+, the explosive sensitivity might also be reduced. Therefore, it is possible that introducing cations into the structure of explosives might be more efficacious at reducing explosive sensitivity than the formation of an intermolecular hydrogen-bonded complex. AIM, NBO and electron density shifts analyses showed that the electron density shifted toward the X-NO2 bond upon complex formation, leading to a strengthened X-NO2 bond and possibly reduced explosive sensitivity. © 2013 Springer-Verlag Berlin Heidelberg.","2-s2.0-84878760930"
"10.1016/j.micromeso.2012.11.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871819454&doi=10.1016%2fj.micromeso.2012.11.034&partnerID=40&md5=25d6cb284b4c2936a9e11e60a0b4a7db","Insensitive energetic materials are considerably desirable for insensitive munitions or low vulnerability ammunition compositions because of the reduced risks involved with their use. The ability to control compositions and properties for such materials is also of interest since it can lead to optimal performance, controlled energy release, and low sensitivity. With these goals in mind, we focus our work on a high energy density material, 1,1-diamino-2,2- dinitroethylene (FOX-7). FOX-7 nanocrystals under confined conditions are synthesized in mesoporous carbon FDU-15 through self-assembly. Complete impregnation can be achieved in N-methyl-2-pyrrolidone at 100-110 °C, and the maximum amount of FOX-7 in the FOX-7/FDU-15 composites is around 43.8 wt.% (C-43.8). Host-guest interactions are investigated by wide-angle XRD, 13C solid-state NMR, and FT-IR. C-43.8 shows low phase transition temperature and fast thermal decomposition rate compared with bulk FOX-7 crystals and the physical mixture. The host-guest structure of the composites demonstrates a novel and efficient space-insensitivity concept. C-43.8 shows no sensitivity toward both friction and impact, and insensitive to electrostatic spark (V50 > 37 kV; E50 > 20 J). The extreme insensitivity is closely related to the high thermal and mechanical stability of FDU-15. © 2012 Elsevier Inc. All rights reserved.","2-s2.0-84871819454"
"10.1016/j.inoche.2013.01.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873699812&doi=10.1016%2fj.inoche.2013.01.006&partnerID=40&md5=1b75a40fa4ea7dd4fe8ae695ca22f774","Two new mixed-ligands coordination compounds Cu(Hatrz)(pda)(H2O) · H2O (1) and Cu(I)Cu(II)(atrz)(pda)(H2O) (2) (Hatrz = 3-amino-1,2,4-triazole, H2pda = pyridine-2,6-dicarboxylic acid) have been synthesized and characterized by elemental analyses, IR, XPS, single crystal X-ray diffraction and thermogravimetric analyses. Crystal structures reveal that 1 presents a zero-dimensional unit, while 2 exhibits a one-dimensional structure constructed by mixed-valence helical chain. Furthermore, the catalytic performance of compounds for the thermal decomposition of HMX (Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine) was investigated by DSC. © 2013 Elsevier B.V.","2-s2.0-84873699812"
"10.1002/chem.201300688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880258403&doi=10.1002%2fchem.201300688&partnerID=40&md5=32fa202a2b827c5d651291c44e1cb7bf","The preparation of 5-(1-methylhydrazinyl)-1H-tetrazole monohydrate (1×H2O) and various copper(II) complexes with perchlorate (2 and 3), nitrate (4, 5, and 6), dinitramide (7), and chloride (8) is described. The coordination compounds (monomers, dimers, and polymers) were characterized through infrared spectroscopy and elemental analysis. Further, the structures of 2 and 4-8 were determined by single-crystal X-ray diffraction. Compound 1 can act as a bidentate ligand in its neutral form (HMHT) and as a μ2- or μ3-bridging ligand in its deprotonated form (MHT). The energetic properties of the synthesized complexes, such as their sensitivities toward impact and friction, were determined, and laser ignition tests were performed. New information about the laser initiation process and the role of the anion in the initiation criterion was obtained. The perchlorate complexes 2 (Tdecomp=217 °C) and 3 (Tdecomp=206°C) are potential primary explosives. Explosive complexes: Various copper(II) complexes with 5-(1-methylhydrazinyl)-1H-tetrazole as a ligand were synthesized and characterized. The complexes were further tested upon laser irradiation and as possible primary explosives. The figure shows the detonation of [Cu(ClO 4)(μ-MHT)(H2O)]∞ and the molecular unit of [{Cu(ClO4)(μ-MHT)(HMHT)}2], which are similar in their behaviors as primary explosives. Copyright © 2013 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.","2-s2.0-84880258403"
"10.1080/07370652.2012.700995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871037741&doi=10.1080%2f07370652.2012.700995&partnerID=40&md5=856e93d641746f5369ddd77eccc2839b","Theoretical studies have been performed on TACOT, its benzofuroxan derivative z-DBBD, and three different isomers of z-DBBD. The corrected absolute and relative total energies of the geometry-optimized structures were calculated at the theoretical level of B3LYP/6-31G(d,p). The bond dissociation energies were correlated with sensitivity. Mulliken electronegativities (χM) and chemical hardness (η) were obtained by employing frontier molecular orbitals at the HF/6-31G(d,p)//B3LYP/6-31G(d,p) theoretical level. Detonation performance analyses for z-DBBD (4,11-dinitro[1,2,5]-oxadiazolo[3,4-e][1,2,5]oxadiazolo[3′,4′:4,5]benzotriazolo-[2,1-a]benzotriazol-6-ium inner salt 1,8-dioxide), its presently considered isomers, and TACOT were performed. The results showed that the performance of all compounds (compounds 1-4) was as good as that of RDX. The power index results showed that z-DBBD and its isomers were better than TACOT, RDX, and HMX. Compounds 1-4 are all reasonable candidates for high-energy-density materials (HEDMs). © 2013 Copyright Taylor and Francis Group, LLC.","2-s2.0-84871037741"
"10.1111/1556-4029.12078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876729034&doi=10.1111%2f1556-4029.12078&partnerID=40&md5=d5dedc8b0df37d2f4b753e9bc2bd3c27","The efficiency of solvent based extraction methods used to remove explosive residues from four different swab types was investigated. Known amounts of organic and inorganic residues were spiked onto a swab surface with acetonitrile or ethanol:water combined with ultrasonication or physical manipulation used to extract the residues from each swab. The efficiency of each procedure was then calculated using liquid chromatography-ultraviolet detection for organic residues and ion chromatography for inorganic residues. Results indicated that acetonitrile combined with physical agitation proved to be the most efficient method; returning analyte recoveries c. 95% for both alcohol based swabs and cotton balls. Inorganic residues were efficiently extracted using ethanol:water, while the use of acetonitrile followed by water significantly reduced the recovery of inorganic residues. Swab storage conditions were then investigated with results indicating decreased storage temperatures are required to retain the more volatile explosives. © 2013 American Academy of Forensic Sciences.","2-s2.0-84876729034"
"10.1007/s10973-012-2679-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878724679&doi=10.1007%2fs10973-012-2679-6&partnerID=40&md5=4a5611e738b0df350b886d2e1900d465","In order to optimize formulations of PBX based on Hexanitrohexaazaisowurtzitane (HNIW) and meet the application in mixed explosive, the mold powder of HNIW coated by varied binders was obtained by aqueous suspension technology. Several particle sizes of graphite were added as additive with a 0.5 % mass ratio. The experiment results showed that fluorine resin (FPM) was better than polyurethane and cis-butadiene rubber when the mass percentage of binders was fixed at 4 %. The characteristic height of HNIW/FPM (96/4) mold powder was at 28 cm (2.5 kg hammer), while that of the neat HNIW was at 15 cm merely, and the friction explosion probability fell from 100 to 70 %. The addition of flake graphite with proper grain size would reduce the mechanical sensitivity of HNIW and improved the fluxion property of HNIW-based mold powders. The thermal stability characteristic of HNIW FPM (96/4) and HNIW/FPM/G (96/4/0.5) were studied by thermogravimetric analysis (TG) at 10 C min-1, the peak decomposition temperatures were at 251 and 250 C, which were closed to that of neat HNIW(249 C) and also identified superior thermal stability of compound. © 2012 Akadémiai Kiadó, Budapest, Hungary.","2-s2.0-84878724679"
"10.1134/S0010508213020123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877810580&doi=10.1134%2fS0010508213020123&partnerID=40&md5=4fdfcf31f0fbd809f06f853b0362caf7","The thresholds of explosive decomposition of PETN (pentaerythrite tetranitrate) with the addition of ultrafine Al-C mechanocomposite particles were measured as a function of the concentration of the latter in the experimental samples exposed to laser pulses (1.064 nm, 12 ns). The sample density was 1.73 g/cm3, and the Al-C particle size at the distribution peak was 220 nm. The minimum threshold of explosive transformation corresponding to a 50% probability of explosion with an energy density of 4 J/cm2 was reached at an optimum concentration of the mechanocomposite of 0.1-0.3%. Comparison with experimental data obtained for samples with aluminum nanoparticle additives was performed. © 2013 Pleiades Publishing, Ltd.","2-s2.0-84877810580"
"10.1016/B978-0-12-382165-2.00082-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033701712&doi=10.1016%2fB978-0-12-382165-2.00082-9&partnerID=40&md5=eebbbbc4a12e56d6f4ce5018013eac88","Improvised explosive devices (IEDs) are designed to cause property damage, injury, and death and to cause fear and uncertainty in affected populations. However, all IEDs have basic components which survive the IED explosion. These components are described and the application of forensic science to pre- and postblast investigation of IED incidents is detailed. © 2013 Elsevier Ltd. All rights reserved.","2-s2.0-85033701712"
"10.1080/08927022.2012.708413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873662027&doi=10.1080%2f08927022.2012.708413&partnerID=40&md5=5f678aca919ff7aafb2c80ff879b6504","In this study, a set of designed 2,4,6-trinitropyridine N-oxide (TNPyO) derivatives with different substituents were studied theoretically at the B3LYP/6-31G* level of density functional theory. The gas-phase heats of formation (HOFs) were predicted based on the isodesmic reactions. The condensed-phase HOFs and heats of sublimation were estimated in the framework of the Politzer approach. The crystal densities were computed from molecular packing which are confirmed to be able to produce a good estimation of density for TNPyO in comparison with the available experimental data. Most of the derivatives have better detonation properties than the traditional explosives RDX (hexahydro-1,3,5-trinitro-1,3,5-trizine) and HMX (1,3,5,7-tetranitro-1,3,5, 7-tetraazacyclooctane), and three compounds are even superior in performance to CL-20 (2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexaazaisowurtzitane). An analysis of the bond dissociation energies shows that all of them except compound 5 have good thermal stability. Considering the detonation performance and thermal stability, most of them are very promising candidates of high energy density materials and are worth further investigations. © 2013 Taylor & Francis.","2-s2.0-84873662027"
