"DOI","Link","Abstract","EID"
"10.1007/978-3-319-95089-1_39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061261873&doi=10.1007%2f978-3-319-95089-1_39&partnerID=40&md5=5b59c4f0d8be189addf7b6077b3db5f1","Multiscale experiments are performed to understand the deformation mechanisms in polymer bonded explosives at a range of impact velocities. The experiments are conducted in a direct impact configuration, where a polycarbonate projectile is directly shot onto polymer bonded sugar samples at different impact velocities. During the deformation process, the images are captured at five million frames/second using an ultrahigh speed camera. For the macro scale experiment, the images are captured at a resolution of 75 μm/pixel and for the mesoscale experiments, the magnification factor is 10 μm/pixel. The deformation field is obtained using digital image correlation technique. From the macroscale displacement field, the spatial stress distribution is calculated using a nonparametric method. The meso-scale experiments are used to explain the deformation mechanisms observed at the macroscale. © The Society for Experimental Mechanics, Inc. 2019.","2-s2.0-85061261873"
"10.1002/prep.201800080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056729277&doi=10.1002%2fprep.201800080&partnerID=40&md5=161209bc3d0063e90ab149f8a360b458","Generate compress-shear loading on Polymer Bonded Explosive (PBX) specimens. The research was carried out to determine the pressure and macroscopic temperature variation occurring in the specimen by using a pressure sensor and a thermocouple. High-speed photography was used to reveal the macroscopic ignition phenomena. X-ray diffraction (XRD) was used to study the material composition of raw and recovered specimens. The results of the experiments described here clearly show that specimens underwent crush, melt and ignition from impact to reaction. At the same time, the relative content of aluminium decreased. Compared to the direct impact results from split Hopkinson compression-shear bar tests, the drop-weight loading pulse is longer, so PBX specimens ignite more easily. © 2018 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85056729277"
"10.1016/j.commatsci.2018.12.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058169273&doi=10.1016%2fj.commatsci.2018.12.008&partnerID=40&md5=563f5c5d3b32de71dfc919ed56edaf15","The ignition of energetic materials (EM) under dynamic loading is mainly controlled by localized temperature spikes known as hotspots. Hotspots occur due to several dissipation mechanisms, including viscoplasticity, viscoelasticity, and internal friction along crack surfaces. To analyze the contributions of these mechanisms, we quantify the ignition probability, energy dissipation, damage evolution, and hotspot characteristics of polymer-bonded explosives (PBXs) with various levels of constituent plasticity of the energetic phase and internal crack face friction. Using PBX9501 consisting of HMX (Octahydro-1,3,5,7-Tetranitro-1,2,3,5-Tetrazocine) and Estane as a reference material, we analyze variants of this material with several values of the yield stress of the energetic phase and coefficients of internal crack face friction, while other parameters are kept unchanged. The impact loading involves piston velocities between 200 and 1200 m/s. The analysis uses a Lagrangian cohesive finite element framework that explicitly accounts for finite-strain elastic-viscoplastic deformation of the grains, viscoelastic deformation of the binder, arbitrary crack initiation and propagation in the grains and the binder, debonding between the grains and the binder, contact between internal surfaces, friction and frictional heating along internal surfaces, heat generation resulting from inelastic bulk deformation, and heat conduction. To determine the ignition status of the material or “go” or “no-go” state, we use a criterion based on a criticality threshold obtained from chemical kinetics calculations. For PBX with various levels of HMX plasticity and friction, the probability of ignition, the evolution of dissipation caused by plasticity and friction, the density of cracks, and the locations of cracks are quantified. Results show that samples with higher levels of constituent plasticity (lower yield strengths) or lower levels of internal friction are less likely to ignite. The relative importance of plasticity and friction depends on load intensity, with frictional heating decreasing as load intensity increases. Although the overall viscoplastic heating outweighs the overall frictional heating, friction plays a very important role in hotspot development at all load intensities analyzed, owing to the fact that frictional heating is more localized than viscoplastic heating. The predicted thresholds and ignition probabilities are expressed in a load intensity-load duration relation for PBX with different constituent properties. © 2018 Elsevier B.V.","2-s2.0-85058169273"
"10.1016/j.compscitech.2016.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971300780&doi=10.1016%2fj.compscitech.2016.05.009&partnerID=40&md5=086fe45fdd8baacbd6033a122c3642fc","The two-dimensional (2D) graphene nanoplatelets (GNPs) were adopted to enhance the thermal conductivity of PBX. The results indicated that, the thermal conductivity of PBX was only slightly improved with very low GNP loading (0.05 wt% and 0.15 wt%). However, a remarkable enhanced effect was observed at a relatively high GNP loading (0.5 wt% and 1 wt%). The thermal conductivity of PBX had a nonlinear dependence on the GNPs loading. The nonlinear dependence of the thermal conductivity on GNPs content was fitted by an analytical model which incorporated all the effects. And the thermal conduction mechanism of GNPs based composite could change from series thermal structure to parallel thermal structure with the GNP loading increasing. Additionally, the calculated thermal shock resistance and thermal stress distribution of PBX was both enhanced with the GNP loading. Finally, the sensitivity of sensitive hexanitrohexaazaisowurtzitane (CL-20) based PBX composition could be improved by GNPs due to enhanced thermal conductivity. © 2016 Elsevier Ltd.","2-s2.0-84971300780"
"10.1021/acs.jpcc.8b05046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049353508&doi=10.1021%2facs.jpcc.8b05046&partnerID=40&md5=91ffcc09d8df4568b1cfeb1bee8e8701","High-pressure behaviors of ammonium perchlorate (NH4ClO4), a widely used energetic oxidizer, have been investigated using in situ angle-dispersive X-ray diffraction (XRD) and Raman spectroscopy experiments up to 22.0 and 20.4 GPa, respectively. A sluggish structural transformation is identified, which started at ∼2.4 GPa and completed at ∼10.6 GPa. The crystal structure of high pressure (phase II) is refined to possess a symmetry of P2. The structural transformation is indicated by the obvious changes in XRD patterns, Raman spectra, and discontinuities of peak positions. Variations in lattice constants and volume of unit cell of the ambient structure (phase I) up to ∼10.0 GPa are also presented. The compressibility of phase I is anisotropic. The compression ratio of b axis is larger than that of a and c axes. The bulk modulus of phase I is B0 = 24.5(4) GPa, and its first pressure derivative is B0′ = 4.5(2). The phase transition is reversible, as the XRD pattern transformed to the initial profile upon release of pressure. On the basis of the Raman and XRD analysis, the high-pressure-induced phase transition of ammonium perchlorate is proposed to be associated with rearrangement of hydrogen-bonded networks. © 2018 American Chemical Society.","2-s2.0-85049353508"
"10.1117/12.2304867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048041259&doi=10.1117%2f12.2304867&partnerID=40&md5=c2f528bdce8cc1fc0973ac1a495801f6","Analysis of homemade and nonstandard explosives and their post-blast residues may be a bit of a challenge for forensic analysis. Analysis of these materials becomes more and more important concerning both the current global situation and the considerably easy access to precursors that are often commonly obtainable chemicals. The aim of two year running project is prepare some of these substances and carry out experimental explosions and tests, and map analyses possibilities using a wide range of available analytical techniques in forensic labs. Samples of primary substances, prepared explosives and post-blast residues are analysed in a complex way in terms of organic and inorganic components. All data obtained, including visual documentation, are stored in a specialized database for security forces and their expert workplaces. The first version of the database is to be introduced. © 2018 SPIE.","2-s2.0-85048041259"
"10.1002/prep.201800193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053888932&doi=10.1002%2fprep.201800193&partnerID=40&md5=3c5f45054ea0f41d1856c72432612f1e","1,3,5,7-Tetranitro-1,3,5,7-tetraazacyclooctane(HMX) is one of the most powerful and widely used explosives. A new method for the synthesis of HMX from 3,7-dipropionyl-1,3,5,7-tetraazabicyclo[3.3.1]nonane (DPPT) was investigated. Two important intermediates, 1,5-dipropionyl-3-nitroso-7-nitro-1,3,5,7-tetraazacyclooctane (DPNNO) and 1,5-dipropionyl-3,7-dinitro-1,3,5,7-tetraazacyclooctane (DPDN), were isolated from the reaction mixture. The reaction mechanism, involving a nitrolysis-nitrosolysis-nitrolysis-nitrolysis process, was proposed and verified by the 1H-NMR tracking. Based on the reaction mechanism, a stepwise method to prepare HMX from DPPT was developed. DPPT could be efficiently and smoothly converted to DPNNO in red fuming nitric acid with excellent yield up to 94.2 %. The influence factors on the yields of HMX such as reaction temperature, loading amounts of N2O5 were investigated. Under the optimized conditions, HMX was obtained with a satisfactory yield of 85.0 %. The overall yield of the stepwise procedure was as high as 80.0 %. © 2018 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85053888932"
"10.1002/prep.201600237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013399197&doi=10.1002%2fprep.201600237&partnerID=40&md5=93ca070548212cea963d3eaf842be546","In this research, several inert materials, including some functional carbon materials, paraffin wax and the well-known insensitive energetic material 1,3,5-triamino-2,4,6-trinitrobenzene (TATB) were selected to reduce the undesirable high sensitivity and hygroscopicity of ultra-fine ammonium perchlorate (UF-AP) via polymer modified coating. Structure, sensitivity, thermal and hygroscopicity performances of the UF-AP based composites were systematically studied by scanning electron microscopy, sensitivity tests, thermal experiments, contact angle, and hygroscopicity analysis. The results showed that both the impact and friction sensitivity of UF-AP can be remarkably reduced, respectively, with only a small amount of 2 % (in mass) desensitization agents. Meanwhile, improved thermal decomposition was gained, and the hygroscopicity can also be reduced to a large extent. Propellants containing 10 % coated UF-AP in mass were processed and tested, the burning rate reached 45.7 mm s−1, 50 % higher compared with that of normal AP, with remarkably reduced impact sensitivity from 11.5 J to 29.6 J and friction sensitivity from 76 % to 28 %. © 2017 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85013399197"
"10.3390/ceramics1010009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072696737&doi=10.3390%2fceramics1010009&partnerID=40&md5=d0bc6ff56483cfaa7ebb96623daa10e6","In recent years, the detection of ultratraces of nitroaromatic compounds (NACs), such as 2,4,6-trinitrotoluene (TNT), has gained considerable attention due to associated problems related to environment, security against terrorists and health. The principle of NACs detection is simple since any explosive emits a rather small, but detectable number of molecules. Thus, numerous detection techniques have been developed throughout the years, but their common limitations are rather large sizes and weights, high power consumption, unreliable detection with false alarms, insufficient sensitivity and/or chemical selectivity, and hyper-sensitivity to mechanical influences associated with very high price. Thus, there is a strong need of cheap, rapid, sensitive, and simple analytical methods for the detection and monitoring of these explosives in air. Semiconducting metal oxides (SMOs) allow the preparation of gas sensors able to partially or totally overcome these drawbacks, and this paper aims to shortly review the most recent SMOs nanocomposites able to sense explosives. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","2-s2.0-85072696737"
"10.1016/j.dt.2017.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042282424&doi=10.1016%2fj.dt.2017.11.003&partnerID=40&md5=b37ad1c1005c0f6f3ce09073af7326b4","Double base propellant suffers from lack of chemical stability; this could result in self ignition during storing. Modified double base (MDB) propellant based on stoichiometric binary mixture of oxidizer-metal fuel (Ammonium perchlorate/Aluminum), and energetic nitramines (HMX) offered enhanced thrust as well as combustion characteristics. This study is devoted to evaluate the impact of such energetic additives on thermal behavior, chemical stability, and shelf life. Extruded MDB formulations were manufactured by extrusion process. Artificial aging at 80 °C for 28 days was conducted. Shelf life assessment was performed using Van't Hoff's equation. Quantification of evolved NOx gases with aging time was performed using quantitative stability tests. MDB formulation based on HMX demonstrated extended service life of 16 years compared with (AP/Al)-MDB which demonstrated 9 years. This finding was ascribed to the reactivity of AP with nitroglycerin with the formation of perchloric acid. Thermal behavior of aged MDB, exhibited an increase in heat released with time; this was ascribed to the auto-catalytic thermal degradation during artificial aging. The increase in released heat by 31% was found to be equivalent to evolved NOx gases of 6.2 cm3/5 g and 2.5 cm3/1 g for Bergmann-Junk test, and Vacuum stability test respectively. This manuscript shaded the light on a novel approach to quantify evolved NOx gases to heat released with aging time. MDB based on HMX offered balanced ballistic performance, chemical stability, and service life. © 2018","2-s2.0-85042282424"
