Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Baig N., Kammakakam I., Falath W., Kammakakam I.",9133257900;55702041800;57189993382;55702041800;,"Nanomaterials: A review of synthesis methods, properties, recent progress, and challenges",2021,Materials Advances,2,6,,1821,1871,,1085,10.1039/d0ma00807a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517945&doi=10.1039%2fd0ma00807a&partnerID=40&md5=40d2f48e945ef945114598326f7406d9,"Center of Research Excellence in Desalination and Water Treatment, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Center for Environment and Water, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Interdisciplinary Research Center for Membranes and Water Security, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Department of Chemical and Biological Engineering, University of Alabama, Tuscaloosa, AL  35487-0203, United States; Department of Mechanical Engineering, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia","Baig, N., Center of Research Excellence in Desalination and Water Treatment, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia, Center for Environment and Water, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia, Interdisciplinary Research Center for Membranes and Water Security, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Kammakakam, I., Center for Environment and Water, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia, Department of Chemical and Biological Engineering, University of Alabama, Tuscaloosa, AL  35487-0203, United States; Falath, W., Center of Research Excellence in Desalination and Water Treatment, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia, Center for Environment and Water, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia, Department of Mechanical Engineering, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Kammakakam, I., Center for Environment and Water, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia, Department of Chemical and Biological Engineering, University of Alabama, Tuscaloosa, AL  35487-0203, United States",,,"Baig, N.; Center of Research Excellence in Desalination and Water Treatment, Saudi Arabia; email: nadeembaig@kfupm.edu.sa
Baig, N.; Department of Chemical and Biological Engineering, United States; email: nadeembaig@kfupm.edu.sa",Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85103517945,,INTERPOL 2023,Explosives,Explosives
"Shaker K., Nawab Y., Jabbar M.",,Bio-composites: eco-friendly substitute of glass fiber composites,2020,Handbook of Nanomaterials and Nanocomposites for Energy and Environmental Applications,,,,1,25,,406,,,,"Shaker, K.; Nawab, Y.; Jabbar, M.",,,,,Final,,Scopus,2-s2.0-85092624456,,INTERPOL 2023,Explosives,Explosives
"Ma X., Li Y., Hussain I., Shen R., Yang G., Zhang K.",57203415055;57217205789;57195772690;7202935837;11641266300;8704230000;,Core–Shell Structured Nanoenergetic Materials: Preparation and Fundamental Properties,2020,Advanced Materials,32,30,2001291,,,,164,10.1002/adma.202001291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086717269&doi=10.1002%2fadma.202001291&partnerID=40&md5=e0c95764a10e6d5636948664823deed5,"Department of Mechanical Engineering, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, 999077, Hong Kong; School of Chemical Engineering, Nanjing University of Science and Technology, Nanjing, 210094, China; Institute of Chemical Materials, China Academy of Engineering Physics, Mianyang, 621900, China","Ma, X., Department of Mechanical Engineering, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, 999077, Hong Kong; Li, Y., Department of Mechanical Engineering, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, 999077, Hong Kong; Hussain, I., Department of Mechanical Engineering, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, 999077, Hong Kong; Shen, R., School of Chemical Engineering, Nanjing University of Science and Technology, Nanjing, 210094, China; Yang, G., Institute of Chemical Materials, China Academy of Engineering Physics, Mianyang, 621900, China; Zhang, K., Department of Mechanical Engineering, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, 999077, Hong Kong",core–shell structured nanoenergetic materials (nEMs); explosives; fundamental properties; metastable intermolecular composites (MICs); preparation methods,Shells (structures); Structural dynamics; Fundamental properties; High energy densities; Metastable Intermolecular Composites; Multifunctionality; Nanoenergetic materials; Preparation method; Space technologies; Structural control; Explosives,"Zhang, K.; Department of Mechanical Engineering, 83 Tat Chee Avenue, Hong Kong; email: kaizhang@cityu.edu.hk
Shen, R.; School of Chemical Engineering, China; email: rqshen@njust.edu.cn
Yang, G.; Institute of Chemical Materials, China; email: ygcheng@caep.cn",Review,Final,,Scopus,2-s2.0-85086717269,,INTERPOL 2023,Explosives,Explosives
"Benhammada A., Trache D.",57212347121;55008987800;,Thermal decomposition of energetic materials using TG-FTIR and TG-MS: a state-of-the-art review,2020,Applied Spectroscopy Reviews,55,8,,724,777,,126,10.1080/05704928.2019.1679825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076455703&doi=10.1080%2f05704928.2019.1679825&partnerID=40&md5=68cfbc344b3999eaf397928c714e04a6,"UER Procédés Energétiques, Ecole Militaire Polytechnique, Bordj El-Bahri, Algiers, Algeria; Ecole Nationale Préparatoire Aux Etudes d'Ingénieur Badji Mokhtar, Rouiba, Algiers, Algeria","Benhammada, A., UER Procédés Energétiques, Ecole Militaire Polytechnique, Bordj El-Bahri, Algiers, Algeria, Ecole Nationale Préparatoire Aux Etudes d'Ingénieur Badji Mokhtar, Rouiba, Algiers, Algeria; Trache, D., UER Procédés Energétiques, Ecole Militaire Polytechnique, Bordj El-Bahri, Algiers, Algeria",energetic materials; mechanism; TG-FTIR; TG-MS; Thermal decomposition,Explosives; Fourier transform infrared spectroscopy; Mass spectrometry; Mechanisms; Pyrolysis; Thermoanalysis; Thermogravimetric analysis; Thermolysis; Chemical decomposition; Conventional techniques; Energetic formulations; Hyphenated techniques; State-of-the art reviews; TG-FT-IR; TG-MS; Thermal decomposition mechanism; Decomposition,"Trache, D.; UER Procédés Energétiques, Algeria; email: djalaltrache@gmail.com",Review,Final,,Scopus,2-s2.0-85076455703,,INTERPOL 2023,Explosives,Explosives
"To K.C., Ben-Jaber S., Parkin I.P.",57219174596;57190252498;56217400400;,Recent Developments in the Field of Explosive Trace Detection,2020,ACS Nano,14,9,,10804,10833,,114,10.1021/acsnano.0c01579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091592215&doi=10.1021%2facsnano.0c01579&partnerID=40&md5=93131b16b43e5117d325fda24fe5f815,"Department of Chemistry, University College London, 20 Gordon Street, Bloomsbury, London, WC1H 0AJ, United Kingdom; Department of Science and Forensics, King Fahad Security College, Riyadh, 13232, Saudi Arabia","To, K.C., Department of Chemistry, University College London, 20 Gordon Street, Bloomsbury, London, WC1H 0AJ, United Kingdom; Ben-Jaber, S., Department of Science and Forensics, King Fahad Security College, Riyadh, 13232, Saudi Arabia; Parkin, I.P., Department of Chemistry, University College London, 20 Gordon Street, Bloomsbury, London, WC1H 0AJ, United Kingdom",artificial intelligence; explosives' detection; IMS; nanomaterials; quantum dots; Raman spectroscopy; sensors; SERS,Explosives; National security; Trace analysis; Collaborative projects; Colorimetric detection; Current detection; Explosive trace detections; Ion mobility spectrometry; Operational use; Screening approaches; Thermal sensors; Explosives detection,"To, K.C.; Department of Chemistry, 20 Gordon Street, United Kingdom; email: k.to.17@ucl.ac.uk
Parkin, I.P.; Department of Chemistry, 20 Gordon Street, United Kingdom; email: i.p.parkin@ucl.ac.uk",Review,Final,"All Open Access, Green",Scopus,2-s2.0-85091592215,,INTERPOL 2023,Explosives,Explosives
Klapötke T.M.,,Energetic Materials Encyclopedia,2018,Energetic Materials Encyclopedia,,,,,,,113,,,,"Klapötke, T.M.",,,,,Final,,Scopus,2-s2.0-85026823449,,INTERPOL 2023,Explosives,Explosives
"Faheem M., Aziz S., Jing X., Ma T., Du J., Sun F., Tian Y., Zhu G.",57202237895;57545326900;26633791100;57205334888;55796368800;36855990600;57189637355;7402633400;,Dual luminescent covalent organic frameworks for nitro-explosive detection,2019,Journal of Materials Chemistry A,7,47,,27148,27155,,109,10.1039/c9ta09497k,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076005543&doi=10.1039%2fc9ta09497k&partnerID=40&md5=dee9763404138da9d9e158226a96cddd,"Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China; School of Material Science and Engineering, Beijing Institute of Technology, Beijing, 100081, China; State Key Laboratory of Inorganic Synthesis and Preparative Chemistry, College of Chemistry, Jilin University, Changchun, 130012, China","Faheem, M., Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China; Aziz, S., Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China; Jing, X., Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China; Ma, T., Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China; Du, J., School of Material Science and Engineering, Beijing Institute of Technology, Beijing, 100081, China; Sun, F., State Key Laboratory of Inorganic Synthesis and Preparative Chemistry, College of Chemistry, Jilin University, Changchun, 130012, China; Tian, Y., Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China; Zhu, G., Key Laboratory of Polyoxometalate Science of the Ministry of Education, Faculty of Chemistry, Northeast Normal University, Changchun, 130024, China",,Anthracene; Binding sites; Chemical sensors; Chemical stability; Ethylene; Explosives; Fluorescence; Chemical sensing; Covalent organic frameworks; Electron-rich; Explosive Detection; High sensitivity; Schiff base reaction; Synergistic action; Tetraphenylethylene; Explosives detection,"Du, J.; School of Material Science and Engineering, China; email: junyi_du@bit.edu.cn",Article,Final,,Scopus,2-s2.0-85076005543,,INTERPOL 2023,Explosives,Explosives
"Seo M., Park H.-R.",25640297500;58298009200;,Terahertz Biochemical Molecule-Specific Sensors,2020,Advanced Optical Materials,8,3,1900662,,,,103,10.1002/adom.201900662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069854941&doi=10.1002%2fadom.201900662&partnerID=40&md5=1359b38ff6ac83836a691ce64884e490,"Sensor System Research Center, Korea Institute of Science and Technology (KIST), Seoul, 02792, South Korea; Division of Nano and Information Technology, KIST School, Korea University of Science and Technology (UST), Seoul, 02792, South Korea; Department of Physics, Ulsan National Institute of Science and Technology (UNIST), Ulsan, 44919, South Korea","Seo, M., Sensor System Research Center, Korea Institute of Science and Technology (KIST), Seoul, 02792, South Korea, Division of Nano and Information Technology, KIST School, Korea University of Science and Technology (UST), Seoul, 02792, South Korea; Park, H.-R., Department of Physics, Ulsan National Institute of Science and Technology (UNIST), Ulsan, 44919, South Korea",biochemical sensors; chemical identification; infrared spectroscopy; metamaterials; nanostructures; terahertz spectroscopy,Biohazards; Chemical contamination; Explosives detection; Infrared devices; Infrared spectroscopy; Medical imaging; Metamaterials; Molecules; Nanostructures; Nondestructive examination; Plasmonic metamaterials; Plasmons; Bio-chemical sensor; Biochemical molecules; Chemical identification; Conformational dynamics; Detection of explosives; Intermolecular vibrational modes; Non destructive inspection; Plasmonic nanostructures; Terahertz spectroscopy,"Seo, M.; Sensor System Research Center, South Korea; email: mseo@kist.re.kr",Article,Final,,Scopus,2-s2.0-85069854941,,INTERPOL 2023,Explosives,Explosives
"Verbitskiy E.V., Rusinov G.L., Chupakhin O.N., Charushin V.N.",16231640000;7003766045;7006259116;7006350819;,Design of fluorescent sensors based on azaheterocyclic push-pull systems towards nitroaromatic explosives and related compounds: A review,2020,Dyes and Pigments,180,,108414,,,,94,10.1016/j.dyepig.2020.108414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079151&doi=10.1016%2fj.dyepig.2020.108414&partnerID=40&md5=7f9319d310655f296e7f6f2a1cc5e753,"I. Postovsky Institute of Organic Synthesis, Ural Branch of the Russian Academy of Sciences, S. Kovalevskaya Str., 22, Ekaterinburg, 620108, Russian Federation; Ural Federal University, Mira St. 19, Ekaterinburg, 620002, Russian Federation","Verbitskiy, E.V., I. Postovsky Institute of Organic Synthesis, Ural Branch of the Russian Academy of Sciences, S. Kovalevskaya Str., 22, Ekaterinburg, 620108, Russian Federation, Ural Federal University, Mira St. 19, Ekaterinburg, 620002, Russian Federation; Rusinov, G.L., I. Postovsky Institute of Organic Synthesis, Ural Branch of the Russian Academy of Sciences, S. Kovalevskaya Str., 22, Ekaterinburg, 620108, Russian Federation, Ural Federal University, Mira St. 19, Ekaterinburg, 620002, Russian Federation; Chupakhin, O.N., I. Postovsky Institute of Organic Synthesis, Ural Branch of the Russian Academy of Sciences, S. Kovalevskaya Str., 22, Ekaterinburg, 620108, Russian Federation, Ural Federal University, Mira St. 19, Ekaterinburg, 620002, Russian Federation; Charushin, V.N., I. Postovsky Institute of Organic Synthesis, Ural Branch of the Russian Academy of Sciences, S. Kovalevskaya Str., 22, Ekaterinburg, 620108, Russian Federation, Ural Federal University, Mira St. 19, Ekaterinburg, 620002, Russian Federation",Fluorescence quenching; Nitroaromatic explosives; Pyrazines; Pyridines; Pyrimidines; Triazines,"Aromatic compounds; Explosives detection; National security; Quenching; Scaffolds; 2 ,4 ,6-trinitrotoluene; Criminal investigation; Electron withdrawing group; Environment protection; Fluorescence sensors; Nitroaromatic explosives; Nitrogen heterocycles; Selective detection; Fluorescence; Aromatic Compounds; Detection; Fluorescence; Nitrogen Heterocycles; Quenching; Review; Scaffolds; Sensors","Verbitskiy, E.V.; I. Postovsky Institute of Organic Synthesis, S. Kovalevskaya Str., 22, Russian Federation; email: verbitskye@yandex.ru",Review,Final,,Scopus,2-s2.0-85083079151,,INTERPOL 2023,Explosives,Explosives
"Zhang B., Liu H.",57441599800;54080231500;,Theoretical prediction model and experimental investigation of detonation limits in combustible gaseous mixtures,2019,Fuel,258,,116132,,,,93,10.1016/j.fuel.2019.116132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071933475&doi=10.1016%2fj.fuel.2019.116132&partnerID=40&md5=34f69e17e6b33d1dfa26a082c4ad3f82,"Shanghai Jiao Tong University, School of Aeronautics and Astronautics, Shanghai, 200240, China","Zhang, B., Shanghai Jiao Tong University, School of Aeronautics and Astronautics, Shanghai, 200240, China; Liu, H., Shanghai Jiao Tong University, School of Aeronautics and Astronautics, Shanghai, 200240, China",Detonation limits; Prediction model; Velocity deficit,Accident prevention; Boundary layers; Chemical analysis; Combustion knock; Detonation; Ethylene; Forecasting; Mixtures; Velocity; Wakes; Boundary layer theory; Competing mechanisms; Detonation limits; Detonation structures; Detonation velocity deficits; Experimental investigations; Prediction model; Velocity deficits; Predictive analytics,"Zhang, B.; Shanghai Jiao Tong University, China; email: bozhang@sjtu.edu.cn",Article,Final,,Scopus,2-s2.0-85071933475,,INTERPOL 2023,Explosives,Explosives
