Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Cumming A.,,Proceedings of the 7th International Symposium on the Analysis and Detection of Explosives,2001,Proceedings of the 7th International Symposium on the Analysis and Detection of Explosives,,,,,,,,,,,,,,,Conference Paper,,,,,,IFSMS 2004,Explosive Scene,Explosives
[No author name available],,Proceedings of the 3rd European Academy of Forensi Science ,2003,Forensic Science International,136,,,140,142,,,,,,,,,,Conference Paper,,,,,,IFSMS 2004,Explosive Scene,Explosives
[No author name available],,[No tittle name available],,Defence Science and Technology Laboratory,,,,,,,,,"http://www.dstl.gov.uk/fines/indes.htm, http://www.dstl.gov.uk/finex/enfsi-eewg.htm",,,,,saphillips@dstl.gov.uk,Website,,,,,,IFSMS 2004,Explosive Scene,Explosives
Sean Doyle,,,,,,,,,,,,,,"Head of Chemistry and Research, Dstl, Fort Halstead, Seveoaks, Kent TN14 7BP, United Kingdom",,,,,Personal communication,,,,,,IFSMS 2004,Explosive Scene,Explosives
"Philips S., Doyle S., Philip L., Coleman M.",,Network developing forensic applications of stable isotopes ratio mass spectrometry Conference 2002,2003,Science and Justice,34,3,,153,160,,,10.1016/s1355-0306(03)71763-8,,"Forensic Explosives Laboratory, Dstl, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom",,,,,Conference Paper,,,,,,IFSMS 2004,Explosive Scene,Explosives
Technical Scientific Working Group for Fire and Explosion Analysis (TSWGFEX),,[No tittle name available],,Technical Scientific Working Group for Fire and Explosion Analysis (TSWGFEX),,,,,,,,,http://www.ncfs.ucf.edu/twgfex/home.html,,,,,,Website,,,,,,IFSMS 2004,Explosive Scene,Explosives
"Monsfield A.M., Marshall M., Walker C.L., Hubbard P.",6504367479;21737576600;18839354400;18835511000;,Physical and chemical evidence remaining after the explosion of large improvised bombs. Part 3: Firings of calcium carbonate ammonium nitrate/sugar,2001,Journal of Forensic Sciences,46,3,,535,548,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034988638&partnerID=40&md5=603357d421821772c9cee7049e55494d,"Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom","Monsfield, A.M., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Marshall, M., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Walker, C.L., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Hubbard, P., Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom",Ammonium nitrate; Chemical residues; Fertilizer; Forensic science; Improvised explosive device; Physical damage; Sugar; TNT equivalence; Velocity of detonation; Witness materials,ammonium nitrate; calcium carbonate; explosive; sugar; article; calculation; explosion; forensic science; materials; priority journal,"Marshall, M.; Forensic Explosives Laboratory, DERA, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom",Article,Final,,Scopus,2-s2.0-0034988638,,IFSMS 2004,Explosive Scene,Explosives
Resende E.,,Forensic Evaluation of Explosive Power and Contamination Issues,2001,Dissertation Abstracts International B,61,12,,6443,,,,,,,,,,,Article,,,,,,IFSMS 2004,Explosive Scene,Explosives
Bouldin K.,,Latent fingerprint and trace explosive detection by photoluminescence and time-resolved imaging,2003,Dissertation Abstracts International B,64,3,,1311,,,,,,,,,,,Article,,,,,,IFSMS 2004,Explosive Scene,Explosives
"Oxley J.C., Smith J.L., Resende E.",7004427947;7410170253;6602606518;,Determining explosivity part II: Comparison of small-scale cartridge tests to actual pipe bombs,2001,Journal of Forensic Sciences,46,5,,1070,1075,,11,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035177011&partnerID=40&md5=e9d90e28d3cc0a53ff347b0933584ceb,"Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States","Oxley, J.C., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; Smith, J.L., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; Resende, E., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States",Black powder; Explosive; Forensic science; Fragmentation; Improvised explosive; Pipe bomb; Post blast; Small-scale explosivity device; Smokeless powder; TATP,cyclonite; explosive; trinitrotoluene; analytic method; article; chemical analysis; explosion; forensic science; laboratory; powder; priority journal,"Oxley, J.C.; Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; email: joxley@chm.uri.edu",Article,Final,,Scopus,2-s2.0-0035177011,,IFSMS 2004,Explosive Scene,Explosives
"Oxley J.C., Smith J.L., Resende E., Rogers E., Strobel R.A., Bender E.C.",7004427947;7410170253;6602606518;7202060348;57197672659;7102126387;,Improvised explosive devices: Pipe bombs,2001,Journal of Forensic Sciences,46,3,,510,534,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034983917&partnerID=40&md5=18da088fce649c2503cc53d9ae973d2a,"Chemistry Department, University of Rhode Island, Kingston, RI, United States; CNPq, Brazil; Judiciary Police of Brazil, Brazil; Bureau of Alcohol, Tobacco, and Firearms, Forensic Science Laboratory-Washington, Rockville, MD, United States","Oxley, J.C., Chemistry Department, University of Rhode Island, Kingston, RI, United States; Smith, J.L., Chemistry Department, University of Rhode Island, Kingston, RI, United States; Resende, E., Chemistry Department, University of Rhode Island, Kingston, RI, United States, CNPq, Brazil, Judiciary Police of Brazil, Brazil; Rogers, E., Chemistry Department, University of Rhode Island, Kingston, RI, United States; Strobel, R.A., Bureau of Alcohol, Tobacco, and Firearms, Forensic Science Laboratory-Washington, Rockville, MD, United States; Bender, E.C., Bureau of Alcohol, Tobacco, and Firearms, Forensic Science Laboratory-Washington, Rockville, MD, United States",Black powder; Forensic science; Fragmentation; Improvised explosive devices; Pipe bomb; Smokeless powder,explosive; gunpowder; article; chemical analysis; device; forensic science; priority journal; weapon,"Oxley, J.C.; University of Rhode Island, URI Chemistry, 51 Lower College Road, Kingston, RI 02881, United States",Article,Final,,Scopus,2-s2.0-0034983917,,IFSMS 2004,Explosive Scene,Explosives
"Walsh G.A., Inal O.T., Romero V.D.",7202797909;7005479738;8699822600;,A potential metallographic technique for the investigation of pipe bombings,2003,Journal of Forensic Sciences,48,5,,945,960,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041318801&partnerID=40&md5=d21ecab0f7d8e3b55b4f5bbd8e19b09a,"Dept. of Mat./Metall. Engineering, New Mex. Inst. of Mining/Technology, Socorro, NM, United States; Department of Physics, New Mex. Inst. of Mining/Technology, Socorro, NM, United States; Dept. of Mat./Metall. Engineering, 801 Leroy Place, Socorro, NM 87801, United States","Walsh, G.A., Dept. of Mat./Metall. Engineering, New Mex. Inst. of Mining/Technology, Socorro, NM, United States, Dept. of Mat./Metall. Engineering, 801 Leroy Place, Socorro, NM 87801, United States; Inal, O.T., Dept. of Mat./Metall. Engineering, New Mex. Inst. of Mining/Technology, Socorro, NM, United States; Romero, V.D., Department of Physics, New Mex. Inst. of Mining/Technology, Socorro, NM, United States",Black powder; Explosives; Forensic science; Improvised explosive devices; Materials science; Metal-shock interactions; Metallurgy; Pipe bombs; Smokeless powder,aluminum; anfo; composition c4; detasheet; dynamite; explosive; glyceryl trinitrate; propellant; stainless steel; steel; trinitrotoluene; unclassified drug; article; explosion; forensic science; hardness; metallurgy; powder; pressure; priority journal; tube; velocity,"Walsh, G.A.; Dept. of Mat./Metall. Engineering, 801 Leroy Place, Socorro, NM 87801, United States",Article,Final,,Scopus,2-s2.0-0041318801,,IFSMS 2004,Explosive Scene,Explosives
